Name,RawCentrality
Plato,762
Aristotle,665
Cicero,328
Averroes,287
Voltaire,264
Confucius,262
Thomas Aquinas,254
Ibn Khaldun,251
Anselm,241
Mozi,233
Al-Ghazali,224
Immanuel Kant,223
David Hume,218
Mencius,218
Bertrand Russell,214
Al-Farabi,208
Socrates,205
Avicenna,188
Solomon,187
Arius,185
Karl Marx,182
Bonaventure,179
Blaise Pascal,171
Thucydides,170
Plotinus,167
Augustine of Hippo,164
Xenophon,163
Friedrich Nietzsche,161
Tertullian,160
William James,158
Han Fei,155
Sun Tzu,154
Proclus,154
Bede,154
William of Ockham,153
John Locke,148
Meister Eckhart,148
Alvin Plantinga,146
Chanakya,144
Edmund Husserl,144
Baruch Spinoza,143
Roger Bacon,141
Nicholas Wolterstorff,138
Henry of Ghent,138
Pseudo-Dionysius the Areopagite,138
Al-Kindi,132
Porphyry,130
Peter van Inwagen,127
Ludwig Wittgenstein,126
Martin Heidegger,125
Marsilio Ficino,124
Duns Scotus,124
Peter Lombard,121
Edward N. Zalta,120
Henri Bergson,120
Gorgias,118
Nicolas Malebranche,117
Albertus Magnus,116
G. E. Moore,116
Vladimir Solovyov,115
Isaac Newton,115
Giovanni Pico della Mirandola,114
Alasdair MacIntyre,113
Adi Shankara,113
Jean-Luc Marion,113
Gabriel Marcel,112
Gottlob Frege,111
Karl Popper,109
Alcuin,109
Pythagoras,109
Daniel Dennett,107
Lucretius,107
Lucian,107
Galen,107
Saul Kripke,104
Xenocrates,103
Valluvar,103
Thomas More,102
Chrysippus,101
Nicholas of Cusa,101
Parmenides,101
Ambrose,100
Robert Grosseteste,99
Ramon Llull,99
Arcesilaus,99
Apuleius,98
Menedemus,98
Carneades,98
Iamblichus,97
Isidore of Seville,97
Martin Buber,96
Martin Luther,95
Clement of Alexandria,95
Sigmund Freud,94
Philo of Larissa,94
Ammonius Hermiae,94
Speusippus,93
Abhinavagupta,93
Syrianus,93
Leo Strauss,92
Damascius,92
Hippias,92
Alcinous,91
Numenius of Apamea,91
Michael Dummett,91
Ammonius Saccas,91
Boetius of Dacia,89
Pyrrho,89
Epicurus,89
Paul of Venice,88
Thomas Carlyle,88
Alonzo Church,87
Roderick Chisholm,87
Theophrastus,86
Peter Geach,86
John Dewey,85
Democritus,85
Richard Swinburne,85
Vasubandhu,84
William Lane Craig,84
John Stuart Mill,83
Hilary Putnam,83
Antony Flew,82
Fakhr al-Din al-Razi,81
Josiah Royce,81
Frithjof Schuon,81
Pierre Gassendi,81
Albert Einstein,81
Aristides,80
John of Damascus,80
Noam Chomsky,80
Mulla Sadra,80
Alexander Pruss,80
Peter Singer,79
Elias,79
Arthur Schopenhauer,79
Dante Alighieri,79
Ralph Waldo Emerson,77
Paul Tillich,76
Bernard of Clairvaux,76
Adam Smith,75
Cyril of Alexandria,75
Tommaso Campanella,75
Jacques Maritain,75
Giordano Bruno,74
Ibn Arabi,74
Frederick Copleston,74
Giambattista Vico,74
Ernst Cassirer,74
Ibn Hazm,73
Thales,73
Rudolf Carnap,72
Ramanuja,72
Karl Rahner,72
Gilbert Ryle,72
Sextus Empiricus,71
Francis of Assisi,71
Gregory of Nyssa,71
Gersonides,70
Hasdai Crescas,70
Athanasius of Alexandria,70
William Alston,70
Charles Sanders Peirce,70
Paul Feyerabend,70
Kapila,70
Ibn Daud,70
Wilfrid Sellars,70
Friedrich Schleiermacher,70
Hildegard of Bingen,70
Alfred North Whitehead,69
George Berkeley,69
William Whewell,69
Charles Darwin,69
Ernst Haeckel,69
Mircea Eliade,68
Bas van Fraassen,68
Ptolemy,68
Pope Gregory I,68
Karl Barth,68
Charles Hartshorne,67
Francis Bacon,67
Ludwig Feuerbach,67
John Henry Newman,66
Francisco de Vitoria,66
Epictetus,65
Thomas Merton,65
Edith Stein,65
Posidonius,65
Saadia Gaon,65
Alexander of Aphrodisias,65
Anthony Kenny,65
Jean Vanier,64
Mao Zedong,64
Zeno of Sidon,64
Baron d'Holbach,64
Auguste Comte,64
Protagoras,64
Crispin Wright,64
George Santayana,64
Reinhold Niebuhr,64
Anaxagoras,63
Rabanus Maurus,63
Alice Crary,63
Max Weber,63
Pierre Teilhard de Chardin,63
Ibn Bajjah,63
Luis de Molina,63
Nagarjuna,62
Sun Yat-sen,62
Johannes Tauler,62
Emanuel Swedenborg,62
Longinus,62
Peter Kreeft,62
Ernst Troeltsch,62
Dietrich von Hildebrand,62
Carl Gustav Hempel,62
Henry More,62
Jeremy Bentham,62
Marcus Aurelius,62
Miskawayh,62
Walter Hilton,61
Otto Neurath,61
Maurice Blondel,61
Novalis,61
Bernard Lonergan,61
Joachim of Fiore,61
Rudolf Bultmann,61
Ian Hacking,61
Galileo Galilei,61
Dharmakirti,60
Thomas Cajetan,60
Desiderius Erasmus,60
Thomas Hobbes,60
Richard Rorty,60
Ibn Masarra,60
Jaimini,60
Jean-Paul Sartre,60
Ralph Cudworth,60
Clitomachus,60
Heraclides Ponticus,60
Zeno of Citium,60
Rudolf Otto,60
Alice von Hildebrand,60
John McDowell,59
Walter Kaufmann,59
Hans Reichenbach,59
Buddhaghosa,58
Gilles Deleuze,58
Jacques Derrida,58
Apollonius of Tyana,58
Albinus,58
Robert Nozick,58
Empedocles,58
Lev Shestov,57
Roman Ingarden,57
John Rawls,57
C. D. Broad,57
Strato of Lampsacus,57
Zhu Xi,57
Vedanta Desika,56
Panaetius,56
David Kaplan,56
Charles Taylor,56
Cleanthes,56
Emil Brunner,55
Calcidius,55
Archytas,55
Bernard Bolzano,55
Anaximander,54
Solomon Ibn Gabirol,54
P. F. Strawson,54
Aenesidemus,54
Deng Xi,54
David the Invincible,54
Hippocrates,54
Theodoric of Freiberg,53
Hippasus,53
Gaius Marius Victorinus,53
Crantor,53
Afrikan Spir,53
Vladimir Lenin,53
Susan Haack,53
Robert Audi,53
Thomas Reid,53
Robert Merrihew Adams,53
Kanada,52
William Wollaston,52
Chrysanthius,52
Donald Davidson,52
Metrodorus of Stratonicea,52
Aedesius,52
Ernest Sosa,51
John Searle,51
Timothy Williamson,51
Hegesias of Cyrene,51
Alhazen,51
Antisthenes,50
Shang Yang,50
Han Yu,50
Jean Buridan,50
Derek Parfit,49
Li Si,49
Michael Tye,49
John Peckham,49
Bernard Williams,48
David Chalmers,48
Philostratus,48
Thomas Nagel,48
Mahavira,48
Nelson Goodman,48
Carl Jung,48
Mahatma Gandhi,48
Kang Youwei,48
Leucippus,47
Edmund Gettier,47
Stilpo,47
Feng Youlan,47
Friedrich Engels,47
Emmanuel Levinas,47
Thrasymachus,47
Fred Dretske,47
Cheng Yi,47
Nicholas Rescher,46
Giles of Rome,46
Wang Fuzhi,46
Metrodorus of Lampsacus,46
Cheng Hao,46
Alfred Tarski,46
Alexander of Hales,46
Dong Zhongshu,46
Jaegwon Kim,45
Diogenes of Oenoanda,45
Nicole Oresme,45
Mou Zongsan,45
Timon of Phlius,45
Vincent Ferrer,44
Sengzhao,44
Michel Foucault,44
Max Planck,44
Archimedes,44
Thomas Jefferson,44
Walter Benjamin,44
Gautama Buddha,44
G. E. M. Anscombe,44
Bernard of Chartres,44
Diodorus Cronus,44
Paul Churchland,44
Huang Zongxi,44
Euclid of Megara,43
Martin Luther King Jr.,43
Dominicus Gundissalinus,43
Marsilius of Inghen,43
Simone de Beauvoir,43
Prodicus,43
Rudolf Steiner,43
Albert of Saxony,43
Martha Nussbaum,43
Yajnavalkya,42
Epimenides,42
Shen Buhai,42
Callicles,42
Alan Turing,42
Favorinus,42
Moses Mendelssohn,42
Ikhwan al-Safa',42
Hossein Nasr,42
Asanga,42
Godfrey of Fontaines,42
Wilhelm Windelband,42
Patricia Churchland,42
Zisi,41
Hannah Arendt,41
Maurice Merleau-Ponty,41
Anniceris,41
Franz Brentano,41
Muhammad Iqbal,41
Zhang Yi,41
Linji Yixuan,41
Guan Zhong,41
Wang Bi,41
Hu Shih,41
Zhiyi,41
Patrick Suppes,41
Herbert Marcuse,41
Shen Dao,40
Hamid al-Din al-Kirmani,40
Moritz Schlick,40
Raghunatha Siromani,40
Jayanta Bhatta,40
Alain de Lille,40
Cleobulus,40
R. M. Hare,39
Liang Qichao,39
Lucius Annaeus Cornutus,39
Khana,39
Ch'ien Mu,39
Wang Yangming,39
Li Kui,39
Theano,38
Hui Shi,38
Li Ao,38
Vyasatirtha,38
Leo Tolstoy,38
Yang Xiong,38
B. R. Ambedkar,38
Friedrich Waismann,37
Barry Stroud,37
Edmund Burke,37
Zhang Dongsun,37
Jacques Lacan,37
Zou Yan,37
Jayatirtha,37
Pierre Duhem,37
Jaakko Hintikka,37
Cai Yuanpei,37
Robert Brandom,37
Zichan,37
Giuseppe Peano,36
Su Qin,36
Michael Polanyi,36
Norman Malcolm,36
Kabir,36
Herbert Spencer,36
Gaozi,36
Tsang Lap Chuen,36
Willard Van Orman Quine,36
Qiu Renzong,36
Zhou Guoping,36
Philippa Foot,35
Jerry Fodor,35
Imre Lakatos,35
Gottfried Leibniz,35
Graham Priest,35
Russ Shafer-Landau,35
Nancy Cartwright,35
Frank P. Ramsey,35
Benjamin Franklin,35
Alexander Bain,34
Hans-Georg Gadamer,34
Shinran,34
Abraham ibn Ezra,34
Peter Galison,34
Samuel Ibn Tibbon,33
Antiphon,33
Naropa,33
Peter Kropotkin,33
Ashtavakra,33
Morton White,33
Keith Donnellan,33
Christine Korsgaard,33
Wilhelm Wundt,33
Nichiren,33
Bodhidharma,32
Casimir Lewy,32
Agastya,32
Ernest Nagel,32
John Adams,32
Ruth Millikan,32
Cora Diamond,32
Michael Walzer,32
J. J. C. Smart,32
Pierre-Joseph Proudhon,32
Larry Laudan,31
Nagasena,31
Nathan Salmon,31
Jean Piaget,31
David Malet Armstrong,30
Mikhail Bakunin,30
Alfred Russel Wallace,30
Uddalaka Aruni,30
Bahya ibn Paquda,30
Wilhelm Dilthey,30
Ibn Tufail,30
Chaitanya Mahaprabhu,30
Abu Ma'shar al-Balkhi,29
Moses Hess,29
Zeno of Elea,29
Tom Regan,29
Simplicius of Cilicia,29
Guy Debord,28
Anil Gupta,28
Ernst Mach,28
Tyler Burge,28
Henry David Thoreau,28
Lamennais,28
Denis Diderot,27
Abu Hatim al-Razi,27
Alvin Goldman,27
Ibn Miskawayh,27
Johann Wolfgang von Goethe,27
Thomas Paine,27
Johann Gottlieb Fichte,27
Albert Camus,27
Steven Best,26
Ned Block,26
Isaiah Berlin,26
Oscar Horta,26
David Sztybel,26
Abdolkarim Soroush,26
Geminus,26
James Rachels,26
Joseph Solomon Delmedigo,26
Daniel Dombrowski,26
Thomas Lepeltier,26
Mary Midgley,26
Cleomedes,26
James Pryor,26
Marvin Minsky,26
Carol J. Adams,26
Joseph Soloveitchik,26
Umberto Eco,26
James Mill,26
Salomon Maimon,26
Al-Ash'ari,26
Keith DeRose,26
Laurence BonJour,25
John Calvin,25
Paracelsus,25
Francisco Sanches,25
Tom Beauchamp,25
Gary L. Francione,25
Mario Bunge,25
