Name,RawCentrality
Plato,861
Aristotle,732
Cicero,342
Averroes,307
Thomas Aquinas,284
Voltaire,279
Confucius,278
Anselm,265
Ibn Khaldun,263
Immanuel Kant,262
Bertrand Russell,258
Mozi,249
David Hume,244
Socrates,234
Al-Ghazali,233
Mencius,230
Karl Marx,216
Al-Farabi,212
Solomon,211
Avicenna,200
Arius,193
William James,188
Bonaventure,188
Blaise Pascal,183
Friedrich Nietzsche,182
Plotinus,178
Augustine of Hippo,175
Ludwig Wittgenstein,174
Thucydides,174
Bede,173
John Locke,170
Xenophon,168
Tertullian,168
Edmund Husserl,166
Alvin Plantinga,165
William of Ockham,165
Baruch Spinoza,160
Martin Heidegger,160
Han Fei,159
Proclus,159
Sun Tzu,158
Nicholas Wolterstorff,157
Meister Eckhart,156
Roger Bacon,155
Karl Popper,147
Chanakya,147
Peter van Inwagen,145
Henry of Ghent,144
Pseudo-Dionysius the Areopagite,144
Al-Kindi,139
Daniel Dennett,139
Alasdair MacIntyre,135
G. E. Moore,134
Duns Scotus,133
Gottlob Frege,132
Porphyry,131
Marsilio Ficino,131
Vladimir Solovyov,129
Peter Lombard,128
Nicolas Malebranche,128
Henri Bergson,127
Gorgias,126
Gabriel Marcel,125
Jean-Luc Marion,125
Saul Kripke,124
Isaac Newton,123
Albertus Magnus,123
Sigmund Freud,122
Edward N. Zalta,121
Giovanni Pico della Mirandola,120
Adi Shankara,119
Thomas More,119
Alcuin,117
Ambrose,116
Lucian,115
Noam Chomsky,115
Galen,114
Martin Luther,112
Pythagoras,112
Lucretius,111
Valluvar,111
Michael Dummett,110
John Dewey,110
Parmenides,110
Nicholas of Cusa,108
Peter Geach,108
William Lane Craig,107
Richard Swinburne,107
Chrysippus,106
Robert Grosseteste,105
Ramon Llull,105
Peter Singer,105
Hilary Putnam,104
Alonzo Church,104
Martin Buber,104
Isidore of Seville,103
Roderick Chisholm,103
Antony Flew,103
Xenocrates,103
Rudolf Carnap,100
Arcesilaus,99
Apuleius,98
Leo Strauss,98
Carneades,98
Menedemus,98
Iamblichus,97
Alexander Pruss,97
Abhinavagupta,96
Boetius of Dacia,95
Hippias,95
Clement of Alexandria,95
Albert Einstein,94
Gilbert Ryle,94
Thomas Carlyle,94
Philo of Larissa,94
Ammonius Hermiae,94
Pyrrho,94
Elias,94
Speusippus,93
Syrianus,93
John Stuart Mill,92
Wilfrid Sellars,92
Damascius,92
Paul Tillich,91
Numenius of Apamea,91
Alcinous,91
Ammonius Saccas,91
Epicurus,90
Alice Crary,89
Bas van Fraassen,89
Paul of Venice,89
Theophrastus,89
Mulla Sadra,88
Charles Sanders Peirce,88
Paul Feyerabend,88
Arthur Schopenhauer,88
Frithjof Schuon,88
John of Damascus,88
Dante Alighieri,88
Jacques Maritain,88
Pierre Gassendi,87
Alfred North Whitehead,87
Vasubandhu,87
Aristides,87
Josiah Royce,87
Democritus,86
Karl Barth,85
Richard Rorty,84
Karl Rahner,84
Fakhr al-Din al-Razi,83
Ernst Cassirer,83
Bernard of Clairvaux,83
Giambattista Vico,82
Ralph Waldo Emerson,82
Frederick Copleston,82
Ian Hacking,82
Cyril of Alexandria,81
Otto Neurath,81
Charles Darwin,81
Tommaso Campanella,81
Hans Reichenbach,81
John Rawls,80
Francis Bacon,80
Jacques Derrida,80
Carl Gustav Hempel,80
Adam Smith,80
William Alston,80
Anthony Kenny,78
Robert Nozick,78
Gregory of Nyssa,78
Francis of Assisi,77
Reinhold Niebuhr,77
Hildegard of Bingen,77
Ibn Arabi,77
Jean-Paul Sartre,77
Charles Hartshorne,77
Friedrich Schleiermacher,76
John Searle,76
George Berkeley,76
Mircea Eliade,76
Athanasius of Alexandria,76
Giordano Bruno,75
Thales,75
William Whewell,75
Gilles Deleuze,75
Ernst Haeckel,75
Ludwig Feuerbach,75
John McDowell,75
Max Weber,74
Ibn Hazm,74
Ramanuja,74
Donald Davidson,74
Charles Taylor,74
Pope Gregory I,74
Crispin Wright,73
Jeremy Bentham,73
Edith Stein,73
Rudolf Bultmann,73
John Henry Newman,73
Pierre Teilhard de Chardin,73
Auguste Comte,73
Jean Vanier,72
P. F. Strawson,72
Sextus Empiricus,72
George Santayana,72
