Name,RawCentrality
Plato,305
Aristotle,291
Cicero,176
Anselm,141
Bonaventure,135
Thomas Aquinas,134
Arius,122
Porphyry,121
Solomon,116
Averroes,115
Al-Farabi,114
Socrates,113
Ibn Khaldun,110
Meister Eckhart,109
Henry of Ghent,108
Proclus,108
Al-Ghazali,107
Pseudo-Dionysius the Areopagite,106
Avicenna,101
Plotinus,99
Xenocrates,96
Tertullian,95
Peter Lombard,93
Roger Bacon,91
Menedemus,91
Augustine of Hippo,91
Arcesilaus,91
Albertus Magnus,90
Apuleius,90
Carneades,90
Marsilio Ficino,90
Confucius,90
Al-Kindi,89
Duns Scotus,87
Philo of Larissa,87
Iamblichus,87
Speusippus,86
Ammonius Hermiae,86
Pythagoras,86
Blaise Pascal,86
William of Ockham,86
Syrianus,85
Clement of Alexandria,85
Damascius,84
Alcinous,84
Numenius of Apamea,83
Giovanni Pico della Mirandola,83
Ammonius Saccas,83
Gorgias,81
Paul of Venice,79
Mozi,79
Xenophon,79
Mencius,79
Galen,79
Chrysippus,77
Alcuin,76
Robert Grosseteste,76
Democritus,75
Fakhr al-Din al-Razi,75
Isidore of Seville,74
Theophrastus,73
Nicholas of Cusa,73
Ramon Llull,70
Epicurus,69
Edward N. Zalta,69
Pyrrho,68
Ibn Hazm,68
Ibn Daud,67
Gersonides,67
Hasdai Crescas,67
Lucian,66
Thales,66
Boetius of Dacia,66
Thucydides,66
Ptolemy,65
Posidonius,65
Lucretius,63
Sextus Empiricus,63
Han Fei,63
Valluvar,63
Ibn Arabi,62
Saadia Gaon,62
Kapila,62
Bede,62
Adi Shankara,62
Ramanuja,61
Hippias,61
Epictetus,61
Anaxagoras,61
Zeno of Sidon,61
Zeno of Citium,60
Ibn Bajjah,60
Sun Tzu,60
Chanakya,59
Marcus Aurelius,59
Abhinavagupta,58
Alexander of Aphrodisias,58
Miskawayh,57
Ambrose,57
Vasubandhu,57
Parmenides,57
Leo Strauss,56
Giordano Bruno,56
Cleanthes,56
Ibn Masarra,55
Alvin Plantinga,55
Jaimini,55
Archytas,55
Panaetius,55
Nicholas Wolterstorff,55
Empedocles,54
Nagarjuna,54
Buddhaghosa,54
Strato of Lampsacus,53
Heraclides Ponticus,53
Protagoras,53
Voltaire,53
Peter van Inwagen,53
Bernard of Clairvaux,53
Clitomachus,53
Hippasus,52
Aristides,52
Apollonius of Tyana,52
Anaximander,52
Cyril of Alexandria,51
Solomon Ibn Gabirol,51
Vedanta Desika,51
Albinus,51
Edmund Husserl,51
Antisthenes,50
Thomas More,50
Longinus,50
Gottlob Frege,50
John of Damascus,50
G. E. Moore,49
Henri Bergson,49
Saul Kripke,49
Kanada,49
Pierre Gassendi,49
Jean Buridan,48
Henry More,48
Calcidius,48
Hildegard of Bingen,47
Alhazen,47
Athanasius of Alexandria,47
Ralph Cudworth,47
Stilpo,47
Gregory of Nyssa,47
Roman Ingarden,47
John Peckham,47
Dante Alighieri,47
Leucippus,47
Philostratus,47
David the Invincible,47
Emanuel Swedenborg,47
Aenesidemus,46
Francis of Assisi,46
Theodoric of Freiberg,46
Crantor,46
Hippocrates,46
David Kaplan,46
Bernard Bolzano,46
Roderick Chisholm,46
Alonzo Church,46
Michael Dummett,46
Mahavira,46
Gaius Marius Victorinus,46
Crispin Wright,46
Josiah Royce,46
Ralph Waldo Emerson,46
Metrodorus of Stratonicea,45
