Name,RawCentrality
Plato,509
Aristotle,466
Cicero,267
Averroes,207
Anselm,200
Thomas Aquinas,192
Ibn Khaldun,180
Voltaire,178
Confucius,174
Al-Ghazali,169
Arius,167
Al-Farabi,166
Bonaventure,165
Mozi,159
Socrates,156
Avicenna,154
Mencius,153
Tertullian,150
Solomon,140
Blaise Pascal,138
Augustine of Hippo,134
Proclus,134
David Hume,133
Plotinus,133
Meister Eckhart,131
Thucydides,129
Henry of Ghent,128
Immanuel Kant,127
Porphyry,126
Pseudo-Dionysius the Areopagite,126
William of Ockham,125
Xenophon,125
Roger Bacon,118
Han Fei,117
Sun Tzu,114
Marsilio Ficino,113
Bede,113
Al-Kindi,111
Peter Lombard,110
Duns Scotus,108
Chanakya,106
Albertus Magnus,106
Giovanni Pico della Mirandola,103
Pythagoras,103
Xenocrates,101
Bertrand Russell,99
Alcuin,99
Karl Marx,98
Arcesilaus,97
Baruch Spinoza,96
Carneades,96
Apuleius,96
Menedemus,96
Edward N. Zalta,94
Adi Shankara,94
Gorgias,93
Galen,93
John Locke,93
Alvin Plantinga,92
Iamblichus,92
Clement of Alexandria,92
Philo of Larissa,92
Nicholas Wolterstorff,92
Nicholas of Cusa,92
Ammonius Hermiae,91
Robert Grosseteste,91
Speusippus,91
Isaac Newton,90
Vladimir Solovyov,90
Syrianus,90
Ramon Llull,90
Nicolas Malebranche,89
Alcinous,89
Damascius,89
Isidore of Seville,89
Ammonius Saccas,89
Lucretius,88
Numenius of Apamea,88
Peter van Inwagen,86
Paul of Venice,85
Lucian,84
Gabriel Marcel,83
Theophrastus,83
Ambrose,83
Chrysippus,83
Jean-Luc Marion,83
Friedrich Nietzsche,82
Boetius of Dacia,81
Epicurus,81
Democritus,81
Edmund Husserl,80
Fakhr al-Din al-Razi,80
Thomas More,80
Abhinavagupta,79
Hippias,79
Valluvar,78
Pyrrho,78
Henri Bergson,78
Parmenides,77
William James,77
Pierre Gassendi,73
Leo Strauss,72
G. E. Moore,72
Ibn Hazm,72
Giordano Bruno,71
Ralph Waldo Emerson,71
Ibn Arabi,71
Aristides,70
John of Damascus,70
Gersonides,70
Hasdai Crescas,70
Ibn Daud,70
Bernard of Clairvaux,68
Sextus Empiricus,68
Thales,68
Ramanuja,68
Vasubandhu,68
Ptolemy,67
Kapila,67
Cyril of Alexandria,67
Josiah Royce,67
Dante Alighieri,66
Posidonius,65
Saadia Gaon,65
Epictetus,64
Alexander of Aphrodisias,64
Saul Kripke,64
Zeno of Sidon,64
Martin Buber,63
Frederick Copleston,63
Ibn Bajjah,63
Gregory of Nyssa,62
Athanasius of Alexandria,62
Alasdair MacIntyre,62
Anaxagoras,62
Hildegard of Bingen,62
Frithjof Schuon,61
Tommaso Campanella,61
Gottlob Frege,61
Francis of Assisi,61
Miskawayh,61
Thomas Carlyle,60
Marcus Aurelius,60
Zeno of Citium,60
Mulla Sadra,60
Pope Gregory I,60
Protagoras,60
Nagarjuna,59
Jaimini,59
Emanuel Swedenborg,59
Ibn Masarra,59
Henry More,59
Giambattista Vico,59
Jacques Maritain,58
Francisco de Vitoria,58
Ralph Cudworth,58
Longinus,58
Clitomachus,58
Heraclides Ponticus,58
Karl Rahner,57
Buddhaghosa,57
John Henry Newman,57
Martin Luther,57
Empedocles,57
Cleanthes,56
Albinus,56
Panaetius,56
Elias,56
Apollonius of Tyana,56
Pierre Teilhard de Chardin,56
Roderick Chisholm,55
Rabanus Maurus,55
Strato of Lampsacus,55
Archytas,55
Vedanta Desika,55
Zhu Xi,55
Edith Stein,55
John Stuart Mill,55
Luis de Molina,54
Johannes Tauler,54
Sun Yat-sen,54
Alonzo Church,54
Peter Kreeft,54
Thomas Merton,54
Daniel Dennett,54
Hippocrates,54
Michael Dummett,53
Bernard Lonergan,53
Joachim of Fiore,53
Calcidius,53
Mao Zedong,53
Solomon Ibn Gabirol,53
Hippasus,53
Walter Hilton,53
Roman Ingarden,53
Anaximander,53
David Kaplan,52
Alice von Hildebrand,52
David the Invincible,52
Thomas Cajetan,52
Dietrich von Hildebrand,52
Bernard Bolzano,52
Maurice Blondel,52
Jean Vanier,52
Aenesidemus,52
Crispin Wright,51
Kanada,51
Gaius Marius Victorinus,51
Theodoric of Freiberg,51
Adam Smith,51
Crantor,51
Aedesius,50
Ernst Haeckel,50
Chrysanthius,50
Antisthenes,50
Jean Buridan,50
Metrodorus of Stratonicea,50
Han Yu,49
Alhazen,49
William Whewell,49
Shang Yang,49
Philostratus,48
John Peckham,48
Ernst Cassirer,47
Baron d'Holbach,47
Friedrich Schleiermacher,47
Mahavira,47
Leucippus,47
Stilpo,47
Deng Xi,47
Thrasymachus,46
Alexander of Hales,46
Cheng Yi,46
Metrodorus of Lampsacus,46
Ludwig Feuerbach,46
Feng Youlan,46
Dharmakirti,46
Diogenes of Oenoanda,45
Mircea Eliade,45
Giles of Rome,45
Dong Zhongshu,45
Li Si,45
Nicole Oresme,45
Cheng Hao,45
Kang Youwei,44
Wang Fuzhi,44
Galileo Galilei,44
Thomas Hobbes,44
Hegesias of Cyrene,44
Timon of Phlius,44
Bernard of Chartres,44
Mou Zongsan,44
Karl Popper,44
Novalis,44
Dominicus Gundissalinus,43
Albert of Saxony,43
Sengzhao,43
Paul Tillich,43
Prodicus,43
Francis Bacon,43
Huang Zongxi,43
Desiderius Erasmus,43
Vincent Ferrer,43
Ludwig Wittgenstein,43
Diodorus Cronus,43
Marsilius of Inghen,43
Euclid of Megara,43
Epimenides,42
Godfrey of Fontaines,42
Martin Heidegger,42
Favorinus,42
Ikhwan al-Safa',42
Anthony Kenny,42
William Alston,42
George Santayana,41
Anniceris,41
Callicles,41
Gautama Buddha,41
Peter Geach,41
Shen Buhai,41
Asanga,41
Albert Einstein,41
Charles Hartshorne,41
Cleobulus,40
Linji Yixuan,40
Alain de Lille,40
Archimedes,40
Guan Zhong,40
Walter Kaufmann,40
William Lane Craig,40
Rudolf Bultmann,40
Yajnavalkya,40
Rudolf Otto,40
Reinhold Niebuhr,40
Antony Flew,40
Sigmund Freud,39
Zisi,39
