Name,RawCentrality
Plato,821
Aristotle,703
Cicero,334
Averroes,297
Voltaire,273
Confucius,270
Thomas Aquinas,268
Ibn Khaldun,257
Anselm,251
Immanuel Kant,245
Bertrand Russell,242
Mozi,240
David Hume,237
Al-Ghazali,228
Mencius,223
Socrates,222
Al-Farabi,209
Karl Marx,207
Solomon,199
Avicenna,193
Arius,191
Bonaventure,182
Blaise Pascal,178
Friedrich Nietzsche,177
William James,174
Plotinus,173
Thucydides,172
Augustine of Hippo,170
Bede,167
Xenophon,166
Tertullian,163
John Locke,160
William of Ockham,159
Alvin Plantinga,159
Proclus,158
Edmund Husserl,157
Han Fei,156
Sun Tzu,155
Ludwig Wittgenstein,155
Roger Bacon,152
Meister Eckhart,152
Baruch Spinoza,152
Nicholas Wolterstorff,151
Martin Heidegger,147
Chanakya,145
Pseudo-Dionysius the Areopagite,141
Henry of Ghent,141
Peter van Inwagen,139
Al-Kindi,135
Karl Popper,133
Porphyry,131
G. E. Moore,129
Duns Scotus,128
Daniel Dennett,128
Marsilio Ficino,128
Alasdair MacIntyre,127
Gottlob Frege,124
Peter Lombard,124
Gorgias,124
Vladimir Solovyov,124
Nicolas Malebranche,123
Isaac Newton,123
Edward N. Zalta,121
Jean-Luc Marion,121
Henri Bergson,121
Albertus Magnus,119
Gabriel Marcel,118
Saul Kripke,117
Giovanni Pico della Mirandola,117
Adi Shankara,116
Sigmund Freud,115
Thomas More,113
Lucian,113
Alcuin,112
Galen,111
Pythagoras,111
Lucretius,110
Ambrose,108
Parmenides,107
Valluvar,107
Chrysippus,105
Nicholas of Cusa,105
Martin Luther,104
Xenocrates,103
Michael Dummett,103
Ramon Llull,102
Robert Grosseteste,102
Martin Buber,101
Peter Geach,100
Alonzo Church,100
Isidore of Seville,100
Noam Chomsky,100
Richard Swinburne,99
Arcesilaus,99
William Lane Craig,99
Roderick Chisholm,99
John Dewey,99
Apuleius,98
Menedemus,98
Carneades,98
Iamblichus,97
Leo Strauss,96
Peter Singer,95
Hilary Putnam,95
Clement of Alexandria,95
Ammonius Hermiae,94
Philo of Larissa,94
Antony Flew,94
Syrianus,93
Speusippus,93
Abhinavagupta,93
Damascius,92
Hippias,92
Boetius of Dacia,92
Thomas Carlyle,91
Alcinous,91
Numenius of Apamea,91
Alexander Pruss,91
Albert Einstein,91
Ammonius Saccas,91
Pyrrho,90
Rudolf Carnap,90
Epicurus,89
Paul of Venice,89
John Stuart Mill,88
Theophrastus,87
Elias,86
Arthur Schopenhauer,86
Democritus,86
Gilbert Ryle,85
Vasubandhu,85
Paul Tillich,85
Frithjof Schuon,84
Paul Feyerabend,84
Pierre Gassendi,84
Jacques Maritain,84
Aristides,84
Dante Alighieri,84
Josiah Royce,83
Alice Crary,83
Charles Sanders Peirce,83
Wilfrid Sellars,83
John of Damascus,83
Mulla Sadra,83
Bas van Fraassen,82
Fakhr al-Din al-Razi,81
