Name,RawCentrality
Plato,738
Aristotle,645
Cicero,326
Averroes,284
Voltaire,261
Confucius,259
Ibn Khaldun,248
Thomas Aquinas,247
Anselm,237
Mozi,232
Al-Ghazali,224
Mencius,217
Immanuel Kant,211
Al-Farabi,207
David Hume,206
Socrates,202
Bertrand Russell,200
Avicenna,187
Arius,184
Solomon,183
Bonaventure,177
Karl Marx,176
Thucydides,169
Blaise Pascal,167
Plotinus,165
Xenophon,163
Augustine of Hippo,161
Tertullian,159
Friedrich Nietzsche,156
Han Fei,155
Sun Tzu,154
Bede,153
William James,152
Proclus,152
William of Ockham,151
Meister Eckhart,146
Chanakya,144
John Locke,142
Roger Bacon,140
Edmund Husserl,140
Alvin Plantinga,139
Baruch Spinoza,136
Pseudo-Dionysius the Areopagite,136
Henry of Ghent,136
Nicholas Wolterstorff,131
Al-Kindi,131
Porphyry,128
Peter van Inwagen,123
Duns Scotus,123
Marsilio Ficino,122
Peter Lombard,120
Martin Heidegger,119
Henri Bergson,119
Edward N. Zalta,118
Gorgias,116
Nicolas Malebranche,115
Albertus Magnus,115
Isaac Newton,114
Vladimir Solovyov,113
Giovanni Pico della Mirandola,112
Adi Shankara,112
Jean-Luc Marion,111
Ludwig Wittgenstein,109
Pythagoras,109
G. E. Moore,109
Gabriel Marcel,109
Alcuin,108
Lucretius,107
Alasdair MacIntyre,106
Gottlob Frege,106
Galen,105
Lucian,105
Valluvar,102
Xenocrates,102
Karl Popper,102
Daniel Dennett,101
Parmenides,101
Nicholas of Cusa,100
Thomas More,100
Ambrose,99
Chrysippus,99
Arcesilaus,98
Robert Grosseteste,98
Menedemus,97
Ramon Llull,97
Carneades,97
Apuleius,97
Saul Kripke,96
Isidore of Seville,96
Iamblichus,95
Martin Buber,95
Clement of Alexandria,94
Martin Luther,93
Philo of Larissa,93
Ammonius Hermiae,92
Speusippus,92
Abhinavagupta,91
Syrianus,91
Hippias,90
Ammonius Saccas,90
Damascius,90
Alcinous,90
Numenius of Apamea,90
Leo Strauss,89
Sigmund Freud,89
Boetius of Dacia,88
Epicurus,88
Paul of Venice,87
Pyrrho,87
Theophrastus,86
Michael Dummett,85
Democritus,85
Thomas Carlyle,85
Peter Geach,83
Alonzo Church,83
Vasubandhu,83
Roderick Chisholm,82
Richard Swinburne,81
Fakhr al-Din al-Razi,81
John Stuart Mill,81
Albert Einstein,80
Pierre Gassendi,80
Frithjof Schuon,80
Josiah Royce,80
William Lane Craig,79
John of Damascus,79
Aristides,79
Mulla Sadra,79
Dante Alighieri,78
Elias,78
Ralph Waldo Emerson,77
Antony Flew,77
John Dewey,77
Arthur Schopenhauer,76
Alexander Pruss,76
Bernard of Clairvaux,75
Adam Smith,74
Cyril of Alexandria,74
Tommaso Campanella,74
Jacques Maritain,74
Hilary Putnam,74
Ibn Arabi,74
Frederick Copleston,73
Ibn Hazm,73
Giordano Bruno,73
Noam Chomsky,73
Ernst Cassirer,73
Ramanuja,72
Paul Tillich,72
Peter Singer,72
Thales,72
Sextus Empiricus,71
Karl Rahner,71
Giambattista Vico,71
Kapila,70
Hasdai Crescas,70
Gersonides,70
Francis of Assisi,70
Gregory of Nyssa,70
Ibn Daud,70
Hildegard of Bingen,69
Athanasius of Alexandria,69
Friedrich Schleiermacher,69
William Whewell,68
Charles Sanders Peirce,68
Rudolf Carnap,68
Ptolemy,68
Ernst Haeckel,68
Alfred North Whitehead,67
Pope Gregory I,67
Karl Barth,67
Charles Darwin,67
Mircea Eliade,66
Ludwig Feuerbach,66
Paul Feyerabend,66
John Henry Newman,65
Epictetus,65
Alexander of Aphrodisias,65
Francis Bacon,65
Francisco de Vitoria,65
Posidonius,65
Charles Hartshorne,65
Saadia Gaon,65
Auguste Comte,64
Edith Stein,64
William Alston,64
Protagoras,64
Bas van Fraassen,64
Anthony Kenny,64
Zeno of Sidon,64
George Berkeley,64
Thomas Merton,64
Jean Vanier,63
Baron d'Holbach,63
Ibn Bajjah,63
George Santayana,63
Mao Zedong,63
Crispin Wright,63
Anaxagoras,63
Wilfrid Sellars,62
Luis de Molina,62
Sun Yat-sen,62
Pierre Teilhard de Chardin,62
Gilbert Ryle,62
Marcus Aurelius,62
Reinhold Niebuhr,62
Miskawayh,62
Rabanus Maurus,62
Longinus,61
Jeremy Bentham,61
Johannes Tauler,61
Galileo Galilei,61
Nagarjuna,61
Emanuel Swedenborg,61
Peter Kreeft,61
Dietrich von Hildebrand,61
Henry More,61
Ernst Troeltsch,61
Maurice Blondel,60
Jaimini,60
Bernard Lonergan,60
Walter Hilton,60
Rudolf Bultmann,60
Joachim of Fiore,60
Ibn Masarra,60
Zeno of Citium,60
Heraclides Ponticus,59
Ralph Cudworth,59
Thomas Cajetan,59
Clitomachus,59
Dharmakirti,59
Alice von Hildebrand,59
Desiderius Erasmus,59
Rudolf Otto,59
Alice Crary,58
Novalis,58
Apollonius of Tyana,58
Walter Kaufmann,58
Carl Gustav Hempel,58
Buddhaghosa,58
Empedocles,58
Max Weber,58
Strato of Lampsacus,57
Thomas Hobbes,57
Albinus,57
Otto Neurath,57
Zhu Xi,57
Panaetius,56
Roman Ingarden,56
David Kaplan,56
Cleanthes,56
Vedanta Desika,56
C. D. Broad,56
Lev Shestov,56
Ian Hacking,56
Jean-Paul Sartre,55
Hans Reichenbach,55
Jacques Derrida,55
Richard Rorty,55
Archytas,55
Bernard Bolzano,55
Calcidius,54
Aenesidemus,54
Hippocrates,54
Deng Xi,54
Anaximander,54
Solomon Ibn Gabirol,54
Hippasus,53
David the Invincible,53
Emil Brunner,53
Theodoric of Freiberg,52
Gilles Deleuze,52
Crantor,52
Afrikan Spir,52
Robert Merrihew Adams,52
Vladimir Lenin,52
Gaius Marius Victorinus,52
Metrodorus of Stratonicea,51
William Wollaston,51
John Rawls,51
Aedesius,51
Chrysanthius,51
Kanada,51
Shang Yang,50
Hegesias of Cyrene,50
John McDowell,50
Alhazen,50
Charles Taylor,50
Jean Buridan,50
Han Yu,50
Antisthenes,50
Robert Nozick,49
Li Si,49
John Peckham,49
Philostratus,48
Kang Youwei,48
Mahavira,48
Cheng Yi,47
Feng Youlan,47
Carl Jung,47
Stilpo,47
Leucippus,47
Emmanuel Levinas,47
Thrasymachus,47
Donald Davidson,47
Michael Tye,47
Wang Fuzhi,46
Dong Zhongshu,46
Alexander of Hales,46
Friedrich Engels,46
Metrodorus of Lampsacus,46
Giles of Rome,46
John Searle,46
Susan Haack,46
Cheng Hao,46
Thomas Reid,46
Mou Zongsan,45
Diogenes of Oenoanda,45
Timon of Phlius,45
Nicole Oresme,45
Robert Audi,45
Mahatma Gandhi,45
P. F. Strawson,45
Bernard of Chartres,44
Archimedes,44
Timothy Williamson,44
Sengzhao,44
Vincent Ferrer,44
David Chalmers,44
Huang Zongxi,44
Ernest Sosa,44
Gautama Buddha,44
Rudolf Steiner,43
Prodicus,43
Dominicus Gundissalinus,43
Diodorus Cronus,43
Max Planck,43
Euclid of Megara,43
Marsilius of Inghen,43
Walter Benjamin,43
Derek Parfit,43
Thomas Jefferson,43
Albert of Saxony,43
Yajnavalkya,42
Nicholas Rescher,42
Asanga,42
Moses Mendelssohn,42
Favorinus,42
Martin Luther King Jr.,42
Michel Foucault,42
Ikhwan al-Safa',42
Martha Nussbaum,42
Callicles,42
Epimenides,42
Hossein Nasr,42
Shen Buhai,42
Thomas Nagel,42
Simone de Beauvoir,42
Nelson Goodman,42
Wilhelm Windelband,42
Alfred Tarski,42
Fred Dretske,42
Godfrey of Fontaines,42
Muhammad Iqbal,41
Anniceris,41
Hu Shih,41
Zisi,41
Zhang Yi,41
Guan Zhong,41
Zhiyi,41
Wang Bi,41
Linji Yixuan,41
Edmund Gettier,41
Cleobulus,40
Raghunatha Siromani,40
Franz Brentano,40
Paul Churchland,40
G. E. M. Anscombe,40
Jaegwon Kim,40
Jayanta Bhatta,40
Hamid al-Din al-Kirmani,40
Bernard Williams,40
Shen Dao,40
Alain de Lille,40
Wang Yangming,39
Lucius Annaeus Cornutus,39
Maurice Merleau-Ponty,39
Alan Turing,39
Ch'ien Mu,39
Khana,39
Herbert Marcuse,39
Li Kui,39
Liang Qichao,39
Vyasatirtha,38
Leo Tolstoy,38
Theano,38
Hui Shi,38
B. R. Ambedkar,38
Patricia Churchland,38
Li Ao,38
Hannah Arendt,38
Yang Xiong,38
Patrick Suppes,37
Zhang Dongsun,37
Jayatirtha,37
Zou Yan,37
Cai Yuanpei,37
Zichan,37
Edmund Burke,37
Kabir,36
Tsang Lap Chuen,36
Herbert Spencer,36
Zhou Guoping,36
Moritz Schlick,36
Gaozi,36
Pierre Duhem,36
Qiu Renzong,36
Su Qin,36
Willard Van Orman Quine,35
R. M. Hare,35
Michael Polanyi,35
Hans-Georg Gadamer,34
Shinran,34
Benjamin Franklin,34
Gottfried Leibniz,34
Abraham ibn Ezra,34
Imre Lakatos,34
Friedrich Waismann,33
Antiphon,33
Nichiren,33
Wilhelm Wundt,33
Alexander Bain,33
Robert Brandom,33
Jacques Lacan,33
Ashtavakra,33
Samuel Ibn Tibbon,33
Naropa,33
Bodhidharma,32
Giuseppe Peano,32
Peter Kropotkin,32
Agastya,32
John Adams,32
Philippa Foot,31
Barry Stroud,31
Norman Malcolm,31
Russ Shafer-Landau,31
Jaakko Hintikka,31
Nagasena,31
Frank P. Ramsey,31
Graham Priest,31
Larry Laudan,31
Jerry Fodor,31
Pierre-Joseph Proudhon,31
Wilhelm Dilthey,30
Nancy Cartwright,30
Chaitanya Mahaprabhu,30
Bahya ibn Paquda,30
Alfred Russel Wallace,30
