Name,RawCentrality
Plato,584
Aristotle,532
Cicero,298
Averroes,245
Anselm,220
Voltaire,216
Confucius,216
Ibn Khaldun,215
Thomas Aquinas,210
Al-Ghazali,198
Mozi,197
Al-Farabi,190
Mencius,188
Arius,175
Bonaventure,175
Avicenna,168
Socrates,167
David Hume,160
Immanuel Kant,157
Blaise Pascal,156
Tertullian,156
Thucydides,153
Solomon,152
Augustine of Hippo,150
Xenophon,149
Plotinus,146
Bertrand Russell,144
Proclus,142
Han Fei,141
William of Ockham,140
Meister Eckhart,140
Sun Tzu,138
Bede,135
Henry of Ghent,135
Pseudo-Dionysius the Areopagite,134
Roger Bacon,132
Chanakya,130
Porphyry,127
Karl Marx,125
Marsilio Ficino,120
Al-Kindi,118
Duns Scotus,117
Peter Lombard,117
William James,116
Albertus Magnus,112
Edward N. Zalta,111
Baruch Spinoza,110
Giovanni Pico della Mirandola,110
Friedrich Nietzsche,108
Edmund Husserl,106
Alcuin,106
Pythagoras,106
Vladimir Solovyov,105
Alvin Plantinga,105
Nicolas Malebranche,105
Nicholas Wolterstorff,104
John Locke,104
Adi Shankara,104
Isaac Newton,103
Xenocrates,102
Gorgias,99
Peter van Inwagen,98
Jean-Luc Marion,98
Gabriel Marcel,98
Arcesilaus,98
Nicholas of Cusa,98
Carneades,97
Galen,97
Lucretius,97
Robert Grosseteste,97
Menedemus,97
Apuleius,97
Ramon Llull,96
Isidore of Seville,95
Henri Bergson,95
Clement of Alexandria,94
Philo of Larissa,93
Ambrose,93
Iamblichus,93
Ammonius Hermiae,92
Speusippus,92
Thomas More,91
Lucian,91
Syrianus,91
Ammonius Saccas,90
Damascius,90
Alcinous,90
Numenius of Apamea,89
Chrysippus,88
Boetius of Dacia,87
Valluvar,86
Paul of Venice,86
Parmenides,86
Abhinavagupta,85
Hippias,84
Theophrastus,84
Epicurus,83
Democritus,82
Pyrrho,81
G. E. Moore,81
Fakhr al-Din al-Razi,80
Pierre Gassendi,79
Leo Strauss,78
Josiah Royce,78
Aristides,77
Martin Buber,77
John of Damascus,77
Alasdair MacIntyre,77
Thomas Carlyle,75
Ralph Waldo Emerson,75
Bernard of Clairvaux,74
Dante Alighieri,73
Gottlob Frege,73
Cyril of Alexandria,73
Giordano Bruno,72
Ibn Hazm,72
Ibn Arabi,72
Martin Luther,71
Frederick Copleston,71
Vasubandhu,70
Gersonides,70
Frithjof Schuon,70
Ibn Daud,70
Hasdai Crescas,70
John Stuart Mill,70
Ramanuja,70
Thales,69
Tommaso Campanella,69
Saul Kripke,69
Mulla Sadra,69
Sextus Empiricus,68
Francis of Assisi,68
Hildegard of Bingen,68
Kapila,68
Daniel Dennett,68
Athanasius of Alexandria,68
Gregory of Nyssa,68
Ptolemy,67
Giambattista Vico,67
Pope Gregory I,66
Karl Rahner,66
Elias,65
Albert Einstein,65
Saadia Gaon,65
Posidonius,65
Epictetus,64
Karl Popper,64
Alexander of Aphrodisias,64
Francisco de Vitoria,64
Zeno of Sidon,64
Jacques Maritain,64
Ibn Bajjah,63
Adam Smith,63
Anaxagoras,63
Protagoras,62
John Henry Newman,62
Ernst Cassirer,62
Miskawayh,61
Rabanus Maurus,61
Edith Stein,61
Thomas Merton,61
Roderick Chisholm,61
Pierre Teilhard de Chardin,61
Ernst Haeckel,61
Martin Heidegger,61
Marcus Aurelius,61
William Whewell,60
Emanuel Swedenborg,60
Zeno of Citium,60
Peter Kreeft,60
Jaimini,60
Henry More,60
Luis de Molina,60
Johannes Tauler,60
Longinus,60
Bernard Lonergan,59
Joachim of Fiore,59
Jean Vanier,59
Sun Yat-sen,59
Dietrich von Hildebrand,59
Mao Zedong,59
Nagarjuna,59
Alonzo Church,59
Ralph Cudworth,59
Heraclides Ponticus,59
Ibn Masarra,59
Walter Hilton,59
Clitomachus,59
Ludwig Wittgenstein,58
Friedrich Schleiermacher,58
Maurice Blondel,58
Thomas Cajetan,58
Alice von Hildebrand,58
Empedocles,58
John Dewey,57
Michael Dummett,57
Albinus,57
Buddhaghosa,57
Apollonius of Tyana,57
Baron d'Holbach,56
Zhu Xi,56
Panaetius,56
Vedanta Desika,56
Roman Ingarden,56
Ludwig Feuerbach,56
Cleanthes,56
Archytas,55
Francis Bacon,55
Strato of Lampsacus,55
Mircea Eliade,55
Auguste Comte,54
Peter Geach,54
Bernard Bolzano,54
Hippocrates,54
Calcidius,54
Novalis,54
Anthony Kenny,53
Hippasus,53
Solomon Ibn Gabirol,53
Anaximander,53
Crispin Wright,53
George Santayana,53
David the Invincible,53
Aenesidemus,53
Galileo Galilei,53
Paul Tillich,53
William Alston,53
William Lane Craig,52
Crantor,52
Antony Flew,52
David Kaplan,52
Gaius Marius Victorinus,52
Charles Sanders Peirce,52
Charles Darwin,52
Sigmund Freud,52
Charles Hartshorne,52
Desiderius Erasmus,52
Theodoric of Freiberg,52
Deng Xi,51
Chrysanthius,51
Metrodorus of Stratonicea,51
Kanada,51
Ernst Troeltsch,51
Alexander Pruss,51
Aedesius,51
Reinhold Niebuhr,51
Richard Swinburne,51
Rudolf Otto,50
Karl Barth,50
Han Yu,50
Antisthenes,50
Shang Yang,50
Alhazen,50
Jean Buridan,50
Rudolf Bultmann,49
Walter Kaufmann,49
John Peckham,49
Hegesias of Cyrene,48
Philostratus,48
Arthur Schopenhauer,48
Kang Youwei,48
Dharmakirti,48
Li Si,48
Lev Shestov,48
Stilpo,47
Cheng Yi,47
Feng Youlan,47
Thomas Hobbes,47
Mahavira,47
Leucippus,47
Dong Zhongshu,46
Alfred North Whitehead,46
Cheng Hao,46
Metrodorus of Lampsacus,46
Alexander of Hales,46
Thrasymachus,46
Nicole Oresme,45
Wang Fuzhi,45
Robert Merrihew Adams,45
Diogenes of Oenoanda,45
Mou Zongsan,45
Giles of Rome,45
Afrikan Spir,45
Vincent Ferrer,44
Huang Zongxi,44
William Wollaston,44
Emil Brunner,44
Timon of Phlius,44
Archimedes,44
Bernard of Chartres,44
Sengzhao,44
Albert of Saxony,43
Vladimir Lenin,43
Prodicus,43
Gautama Buddha,43
Euclid of Megara,43
Dominicus Gundissalinus,43
Diodorus Cronus,43
Marsilius of Inghen,43
Favorinus,42
Godfrey of Fontaines,42
Epimenides,42
Shen Buhai,42
Ikhwan al-Safa',42
Yajnavalkya,41
Hu Shih,41
Zhang Yi,41
Guan Zhong,41
Linji Yixuan,41
Friedrich Engels,41
Asanga,41
Anniceris,41
Callicles,41
George Berkeley,41
Cleobulus,40
Raghunatha Siromani,40
Shen Dao,40
Wang Bi,40
Jayanta Bhatta,40
C. D. Broad,40
Zhiyi,40
Zisi,40
Alain de Lille,40
Hamid al-Din al-Kirmani,39
Lucius Annaeus Cornutus,39
Paul Feyerabend,39
Khana,39
Rudolf Carnap,39
Li Kui,39
Max Weber,39
Moses Mendelssohn,39
Liang Qichao,39
Thomas Jefferson,39
Ch'ien Mu,39
Muhammad Iqbal,39
Jeremy Bentham,39
Hui Shi,38
Yang Xiong,38
Theano,38
Wang Yangming,38
Bas van Fraassen,38
Vyasatirtha,38
Li Ao,38
Carl Jung,37
Zhang Dongsun,37
Jayatirtha,37
Zou Yan,37
B. R. Ambedkar,37
Cai Yuanpei,37
Rudolf Steiner,37
Zichan,37
Su Qin,36
Tsang Lap Chuen,36
Qiu Renzong,36
Kabir,36
Leo Tolstoy,36
Gaozi,36
Zhou Guoping,36
Thomas Reid,36
Wilhelm Windelband,36
Noam Chomsky,35
Herbert Spencer,35
Emmanuel Levinas,35
Abraham ibn Ezra,34
Otto Neurath,33
Hossein Nasr,33
Max Planck,33
Shinran,33
Hans Reichenbach,32
Jean-Paul Sartre,32
Agastya,32
Samuel Ibn Tibbon,32
Carl Gustav Hempel,32
Ashtavakra,32
Antiphon,32
Naropa,31
Nichiren,31
Edmund Burke,31
Bodhidharma,31
Benjamin Franklin,31
Hilary Putnam,31
Wilfrid Sellars,30
Chaitanya Mahaprabhu,30
Pierre Duhem,30
Gilbert Ryle,30
Martin Luther King Jr.,30
John Adams,30
Nagasena,30
Uddalaka Aruni,30
Bahya ibn Paquda,30
Ian Hacking,30
Gottfried Leibniz,29
Mahatma Gandhi,29
Abu Ma'shar al-Balkhi,29
Ibn Tufail,29
Moses Hess,29
Zeno of Elea,29
Walter Benjamin,29
Simplicius of Cilicia,28
Michael Polanyi,28
Lamennais,28
Peter Singer,27
Imre Lakatos,27
Franz Brentano,27
Alfred Russel Wallace,27
Johann Wolfgang von Goethe,27
Gilles Deleuze,27
Geminus,26
Salomon Maimon,26
Wilhelm Wundt,26
Joseph Soloveitchik,26
Peter Kropotkin,26
Abu Hatim al-Razi,26
Joseph Solomon Delmedigo,26
Ibn Miskawayh,26
Pierre-Joseph Proudhon,26
Cleomedes,26
Isaac Orobio de Castro,25
Al-Ash'ari,25
Isaac Cardoso,25
Larry Laudan,25
Paracelsus,25
Francisco Sanches,25
Ibn Kammuna,25
Gangesha Upadhyaya,25
Robert Boyle,24
Themistius,24
Reza Davari Ardakani,24
Al-Baqillani,24
Syed Muhammad Naquib al-Attas,24
Ernst Mach,24
Ibn Tzaddik,24
Fred Dretske,24
Ibn Furak,24
Alcibiades,24
Mikhail Bakunin,24
Taha Abdurrahman,24
John Calvin,24
Abdolkarim Soroush,24
Thomas Paine,24
Jalal al-Din al-Dawani,24
Mostafa Malekian,24
Isocrates,23
Richard Rorty,23
Markandeya,23
Alan Turing,23
Simone de Beauvoir,23
Shvetashvatara,23
Nasir al-Din Tusi,23
Johann Gottlieb Fichte,23
Robert Audi,23
Samuel Johnson,23
Wilhelm Dilthey,23
Susan Haack,23
James Mill,22
John McDowell,22
Aristoxenus,22
Jean Piaget,22
Denis Diderot,22
Herbert Marcuse,22
Alexander Bain,22
Yi I,21
Pierre Bayle,21
Henry David Thoreau,21
Leon Trotsky,20
Timothy Williamson,20
Robert Nozick,20
Ernest Sosa,20
Francis Hutcheson,20
Hunayn ibn Ishaq,20
Ahmad ibn Hanbal,20
P. F. Strawson,20
Nelson Goodman,20
Henry George,20
David Ricardo,20
Samuel Taylor Coleridge,20
