Name,RawCentrality
Plato,267
Aristotle,244
Cicero,160
Anselm,129
Porphyry,120
Bonaventure,120
Socrates,109
Thomas Aquinas,108
Arius,108
Solomon,104
Proclus,104
Al-Farabi,104
Henry of Ghent,100
Meister Eckhart,99
Ibn Khaldun,98
Pseudo-Dionysius the Areopagite,96
Xenocrates,95
Al-Ghazali,95
Averroes,95
Plotinus,94
Avicenna,92
Arcesilaus,90
Menedemus,90
Carneades,89
Apuleius,88
Iamblichus,86
Philo of Larissa,86
Ammonius Hermiae,85
Al-Kindi,85
Speusippus,85
Syrianus,84
Clement of Alexandria,84
Tertullian,83
Damascius,83
Alcinous,83
Numenius of Apamea,82
Ammonius Saccas,82
Augustine of Hippo,82
Confucius,80
Gorgias,79
Pythagoras,79
Peter Lombard,78
Marsilio Ficino,77
Albertus Magnus,77
Paul of Venice,77
Blaise Pascal,77
Chrysippus,76
Roger Bacon,75
Galen,74
Duns Scotus,74
Giovanni Pico della Mirandola,73
Theophrastus,72
William of Ockham,72
Xenophon,72
Fakhr al-Din al-Razi,71
Democritus,71
Mencius,69
Mozi,68
Alcuin,68
Edward N. Zalta,66
Isidore of Seville,66
Epicurus,66
Robert Grosseteste,66
Pyrrho,66
Posidonius,65
Ibn Hazm,65
Lucian,63
Nicholas of Cusa,63
Sextus Empiricus,63
Thales,63
Anaxagoras,61
Valluvar,61
Ibn Daud,60
Hasdai Crescas,60
Zeno of Citium,60
Zeno of Sidon,60
Epictetus,60
Gersonides,60
Kapila,60
Ramon Llull,60
Hippias,59
Marcus Aurelius,59
Ibn Arabi,59
Adi Shankara,58
Ramanuja,58
Boetius of Dacia,58
Lucretius,57
Thucydides,57
Saadia Gaon,57
Ptolemy,57
Alexander of Aphrodisias,56
Cleanthes,56
Archytas,55
Han Fei,55
Panaetius,55
Ibn Bajjah,55
Abhinavagupta,55
Parmenides,54
Miskawayh,54
Vasubandhu,54
Jaimini,53
Buddhaghosa,53
Strato of Lampsacus,53
Leo Strauss,53
Bede,52
Anaximander,52
Nicholas Wolterstorff,52
Protagoras,52
Sun Tzu,52
Nagarjuna,52
Hippasus,52
Empedocles,52
Ibn Masarra,52
Alvin Plantinga,52
Clitomachus,52
Heraclides Ponticus,51
Giordano Bruno,51
Chanakya,51
Vedanta Desika,50
Peter van Inwagen,50
Antisthenes,50
Apollonius of Tyana,50
Ambrose,49
Edmund Husserl,49
Longinus,49
Albinus,48
Philostratus,47
Henri Bergson,47
Leucippus,47
Kanada,47
Saul Kripke,47
Calcidius,47
Stilpo,47
Gottlob Frege,47
G. E. Moore,47
Solomon Ibn Gabirol,47
Aenesidemus,46
Roman Ingarden,46
Mahavira,46
Ralph Cudworth,46
Emanuel Swedenborg,46
David the Invincible,46
Theodoric of Freiberg,45
Josiah Royce,45
Alhazen,45
Aristides,45
Thrasymachus,45
Alonzo Church,45
Bernard Bolzano,45
Roderick Chisholm,45
Henry More,45
Crispin Wright,45
Crantor,45
Gaius Marius Victorinus,45
David Kaplan,45
Jean Buridan,45
Michael Dummett,45
Ralph Waldo Emerson,45
Metrodorus of Stratonicea,44
Aedesius,44
Bernard of Clairvaux,44
Hippocrates,44
Cyril of Alexandria,44
Chrysanthius,44
Metrodorus of Lampsacus,44
John Peckham,44
Giles of Rome,43
John of Damascus,43
Diodorus Cronus,43
Timon of Phlius,43
Diogenes of Oenoanda,43
Euclid of Megara,43
Favorinus,42
Alexander of Hales,42
Bernard of Chartres,42
Prodicus,42
Dominicus Gundissalinus,41
Nicole Oresme,41
Anniceris,41
Marsilius of Inghen,41
Epimenides,41
Callicles,41
Voltaire,40
Zhu Xi,40
Gregory of Nyssa,40
Albert of Saxony,40
Ikhwan al-Safa',40
Vincent Ferrer,40
Athanasius of Alexandria,40
Hildegard of Bingen,40
Godfrey of Fontaines,40
Cleobulus,40
Shang Yang,39
Dante Alighieri,39
Francis of Assisi,39
Pierre Gassendi,39
Thomas More,39
Lucius Annaeus Cornutus,39
Hegesias of Cyrene,39
Han Yu,38
Alain de Lille,38
Theano,38
Yajnavalkya,37
Pope Gregory I,37
Raghunatha Siromani,37
Gautama Buddha,37
Vladimir Solovyov,36
Nicolas Malebranche,36
Feng Youlan,36
Gabriel Marcel,36
Jean-Luc Marion,36
David Hume,36
Jayanta Bhatta,36
Wang Fuzhi,35
Dong Zhongshu,35
Dharmakirti,35
Frederick Copleston,35
Li Si,34
Khana,34
Mao Zedong,34
Jacques Maritain,34
Muhammad Iqbal,34
Cheng Hao,34
Sun Yat-sen,34
Asanga,34
Cheng Yi,34
Kang Youwei,34
Sengzhao,34
Hamid al-Din al-Kirmani,34
Huang Zongxi,34
Vyasatirtha,34
Zhiyi,33
Mou Zongsan,33
Rabanus Maurus,33
Johannes Tauler,32
Thomas Merton,32
Shen Buhai,32
Jayatirtha,32
Karl Rahner,32
Kabir,31
Walter Hilton,31
Guan Zhong,31
Giambattista Vico,31
John Henry Newman,31
Archimedes,30
Linji Yixuan,30
Francisco de Vitoria,30
Luis de Molina,30
Peter Kreeft,30
Bernard Lonergan,30
Baruch Spinoza,30
Wang Bi,30
Maurice Blondel,30
Thomas Cajetan,30
Tommaso Campanella,30
Pierre Teilhard de Chardin,30
Alice von Hildebrand,30
Alasdair MacIntyre,30
Joachim of Fiore,30
Edith Stein,30
Zhang Yi,30
Shen Dao,30
Dietrich von Hildebrand,30
Jean Vanier,30
Uddalaka Aruni,29
Li Kui,29
Ch'ien Mu,29
Agastya,28
Deng Xi,28
Hui Shi,28
Zeno of Elea,28
Shinran,28
Zisi,28
Yang Xiong,28
Hu Shih,28
B. R. Ambedkar,28
Nichiren,28
Naropa,28
Ashtavakra,28
Bodhidharma,28
Zichan,27
Liang Qichao,27
Zou Yan,27
Nagasena,27
Zhang Dongsun,27
Li Ao,27
Frithjof Schuon,27
Mulla Sadra,27
Wang Yangming,27
Tsang Lap Chuen,26
Su Qin,26
Qiu Renzong,26
Hossein Nasr,26
Chaitanya Mahaprabhu,26
Zhou Guoping,26
Gaozi,26
Abraham ibn Ezra,26
Cai Yuanpei,26
Martin Buber,26
Bertrand Russell,25
Cleomedes,25
Geminus,25
Simplicius of Cilicia,24
Elias,24
Samuel Ibn Tibbon,24
Al-Ash'ari,23
Friedrich Nietzsche,23
Jalal al-Din al-Dawani,23
Ibn Tufail,23
Bahya ibn Paquda,22
Markandeya,22
Ibn Furak,22
Al-Baqillani,22
Shvetashvatara,22
Abu Ma'shar al-Balkhi,22
Aristoxenus,21
Abu Hatim al-Razi,21
Ibn Miskawayh,21
Gangesha Upadhyaya,21
Themistius,21
Antiphon,21
Alcibiades,20
