Name,RawCentrality
Plato,839
Aristotle,719
Cicero,337
Averroes,302
Voltaire,276
Thomas Aquinas,276
Confucius,273
Ibn Khaldun,260
Anselm,260
Immanuel Kant,253
Bertrand Russell,248
Mozi,244
David Hume,240
Al-Ghazali,230
Socrates,227
Mencius,226
Karl Marx,213
Al-Farabi,211
Solomon,203
Avicenna,197
Arius,191
Bonaventure,186
Blaise Pascal,182
Friedrich Nietzsche,182
William James,180
Augustine of Hippo,174
Plotinus,174
Thucydides,173
Bede,171
Xenophon,167
Tertullian,166
Ludwig Wittgenstein,165
William of Ockham,163
Alvin Plantinga,163
John Locke,162
Edmund Husserl,160
Proclus,158
Baruch Spinoza,157
Han Fei,157
Sun Tzu,156
Nicholas Wolterstorff,155
Roger Bacon,154
Meister Eckhart,154
Martin Heidegger,154
Chanakya,146
Henry of Ghent,143
Pseudo-Dionysius the Areopagite,143
Peter van Inwagen,143
Karl Popper,138
Al-Kindi,137
Daniel Dennett,135
Alasdair MacIntyre,132
G. E. Moore,132
Duns Scotus,132
Porphyry,131
Marsilio Ficino,130
Vladimir Solovyov,128
Gottlob Frege,127
Nicolas Malebranche,127
Peter Lombard,127
Henri Bergson,125
Gorgias,125
Jean-Luc Marion,124
Isaac Newton,123
Albertus Magnus,122
Gabriel Marcel,122
Edward N. Zalta,121
Sigmund Freud,120
Saul Kripke,120
Giovanni Pico della Mirandola,119
Adi Shankara,119
Thomas More,117
Alcuin,115
Ambrose,113
Lucian,113
Pythagoras,111
Galen,111
Lucretius,110
Parmenides,109
Valluvar,109
Noam Chomsky,109
Martin Luther,108
Nicholas of Cusa,107
Peter Geach,106
Chrysippus,105
Michael Dummett,105
William Lane Craig,104
Robert Grosseteste,104
Richard Swinburne,104
Ramon Llull,104
Martin Buber,104
Xenocrates,103
John Dewey,102
Alonzo Church,102
Isidore of Seville,102
Roderick Chisholm,101
Antony Flew,101
Arcesilaus,99
Peter Singer,99
Apuleius,98
Carneades,98
Menedemus,98
Iamblichus,97
Hilary Putnam,97
Leo Strauss,97
Clement of Alexandria,95
Alexander Pruss,95
Abhinavagupta,95
Rudolf Carnap,94
Thomas Carlyle,94
Philo of Larissa,94
Hippias,94
Ammonius Hermiae,94
Boetius of Dacia,94
Pyrrho,93
Syrianus,93
Speusippus,93
Damascius,92
Albert Einstein,92
Numenius of Apamea,91
Alcinous,91
Ammonius Saccas,91
Paul Tillich,90
John Stuart Mill,90
Epicurus,90
Theophrastus,89
Paul of Venice,89
Gilbert Ryle,88
Elias,88
Mulla Sadra,87
Dante Alighieri,87
Bas van Fraassen,87
Frithjof Schuon,87
Democritus,86
Aristides,86
Arthur Schopenhauer,86
Wilfrid Sellars,86
Pierre Gassendi,86
Alice Crary,86
Paul Feyerabend,86
Jacques Maritain,86
John of Damascus,86
Vasubandhu,85
Charles Sanders Peirce,85
Josiah Royce,84
Karl Barth,84
Alfred North Whitehead,84
Karl Rahner,82
Fakhr al-Din al-Razi,82
Ernst Cassirer,82
Ralph Waldo Emerson,82
Bernard of Clairvaux,81
Giambattista Vico,81
Cyril of Alexandria,80
Tommaso Campanella,80
Frederick Copleston,80
William Alston,80
Richard Rorty,80
Adam Smith,79
Francis Bacon,79
Ian Hacking,79
Charles Darwin,78
Carl Gustav Hempel,78
Hans Reichenbach,78
Anthony Kenny,78
Jacques Derrida,77
Charles Hartshorne,77
Otto Neurath,77
Gregory of Nyssa,77
Ibn Arabi,76
Francis of Assisi,76
Hildegard of Bingen,76
Friedrich Schleiermacher,76
Mircea Eliade,76
Ludwig Feuerbach,75
Reinhold Niebuhr,75
Ernst Haeckel,75
John Rawls,75
Thales,75
William Whewell,75
Gilles Deleuze,75
Athanasius of Alexandria,75
Giordano Bruno,74
Robert Nozick,74
Jean-Paul Sartre,74
Ibn Hazm,73
Ramanuja,73
Auguste Comte,73
Max Weber,73
George Berkeley,73
John McDowell,73
Pope Gregory I,73
Rudolf Bultmann,73
Edith Stein,72
John Henry Newman,72
Crispin Wright,72
Charles Taylor,72
George Santayana,72
Sextus Empiricus,72
Baron d'Holbach,71
Francisco de Vitoria,71
Jean Vanier,71
Galileo Galilei,71
Jeremy Bentham,71
Gersonides,70
Hasdai Crescas,70
Kapila,70
John Searle,70
Ibn Daud,70
Thomas Merton,70
Pierre Teilhard de Chardin,69
P. F. Strawson,69
Ernst Troeltsch,69
Epictetus,68
Rabanus Maurus,68
Luis de Molina,68
Donald Davidson,68
Ptolemy,68
Mao Zedong,68
Rudolf Otto,67
Johannes Tauler,67
Dietrich von Hildebrand,67
Susan Haack,67
Desiderius Erasmus,66
Timothy Williamson,66
C. D. Broad,66
Bernard Lonergan,66
Maurice Blondel,66
Joachim of Fiore,66
Peter Kreeft,66
Walter Hilton,66
Robert Audi,66
Protagoras,66
Alexander of Aphrodisias,65
Derek Parfit,65
Posidonius,65
Sun Yat-sen,65
Ernest Sosa,65
Thomas Cajetan,65
Saadia Gaon,65
Novalis,64
Zeno of Sidon,64
Walter Kaufmann,64
Bernard Williams,64
David Chalmers,64
Alice von Hildebrand,64
Lev Shestov,64
Anaxagoras,63
Ibn Bajjah,63
Thomas Nagel,63
Emanuel Swedenborg,63
Marcus Aurelius,63
Nagarjuna,62
Miskawayh,62
Thomas Hobbes,62
Henry More,62
Emil Brunner,62
David Kaplan,62
Nelson Goodman,62
Longinus,62
Dharmakirti,61
Michel Foucault,61
Clitomachus,60
Thomas Reid,60
Zeno of Citium,60
Ralph Cudworth,60
Heraclides Ponticus,60
Jaimini,60
Empedocles,60
Ibn Masarra,60
Alfred Tarski,60
Vladimir Lenin,59
Robert Merrihew Adams,59
Edmund Gettier,59
Afrikan Spir,59
Nicholas Rescher,58
William Wollaston,58
Apollonius of Tyana,58
Buddhaghosa,58
Strato of Lampsacus,58
Albinus,58
Zhu Xi,57
Roman Ingarden,57
Martha Nussbaum,57
Patrick Suppes,57
G. E. M. Anscombe,56
Deng Xi,56
Simone de Beauvoir,56
Vedanta Desika,56
Jaegwon Kim,56
Michael Tye,56
Paul Churchland,56
Panaetius,56
Anaximander,56
Cleanthes,56
Aenesidemus,55
Bernard Bolzano,55
Calcidius,55
Hippocrates,55
Carl Jung,55
Archytas,55
David the Invincible,54
Mahatma Gandhi,54
Solomon Ibn Gabirol,54
Crantor,53
Theodoric of Freiberg,53
Hippasus,53
Moritz Schlick,53
Gaius Marius Victorinus,53
Patricia Churchland,53
Emmanuel Levinas,53
Aedesius,52
Walter Benjamin,52
Fred Dretske,52
Rudolf Steiner,52
Hannah Arendt,52
Kanada,52
Chrysanthius,52
Metrodorus of Stratonicea,52
Jean Buridan,51
Thomas Jefferson,51
Alhazen,51
Hegesias of Cyrene,51
R. M. Hare,51
Barry Stroud,50
Wilhelm Windelband,50
Han Yu,50
Robert Brandom,50
Shang Yang,50
Jaakko Hintikka,50
Antisthenes,50
Friedrich Waismann,50
Li Si,49
John Peckham,49
Philippa Foot,49
Willard Van Orman Quine,48
Mahavira,48
Martin Luther King Jr.,48
Friedrich Engels,48
Thrasymachus,48
Alan Turing,48
Frank P. Ramsey,48
Kang Youwei,48
Philostratus,48
Nancy Cartwright,48
Maurice Merleau-Ponty,48
Jerry Fodor,48
Max Planck,48
Leucippus,48
Ernest Nagel,47
Cheng Yi,47
Feng Youlan,47
Stilpo,47
Norman Malcolm,47
Giuseppe Peano,47
Herbert Marcuse,47
Archimedes,46
Cheng Hao,46
Graham Priest,46
Alexander of Hales,46
Wang Fuzhi,46
Timon of Phlius,46
Giles of Rome,46
Mou Zongsan,46
Dong Zhongshu,46
Russ Shafer-Landau,46
Metrodorus of Lampsacus,46
Michael Polanyi,45
Nicole Oresme,45
Diogenes of Oenoanda,45
Morton White,45
Pierre Duhem,45
Peter Galison,45
Franz Brentano,45
Jacques Lacan,45
Diodorus Cronus,44
Hans-Georg Gadamer,44
Gautama Buddha,44
Callicles,44
Bernard of Chartres,44
Keith Donnellan,44
J. J. C. Smart,44
Huang Zongxi,44
Christine Korsgaard,44
Imre Lakatos,44
Cora Diamond,44
Sengzhao,44
Vincent Ferrer,44
Ruth Millikan,44
Euclid of Megara,43
Prodicus,43
Nathan Salmon,43
Muhammad Iqbal,43
Michael Walzer,43
Marsilius of Inghen,43
Dominicus Gundissalinus,43
Albert of Saxony,43
Casimir Lewy,43
Moses Mendelssohn,42
Epimenides,42
Shen Buhai,42
Yajnavalkya,42
Favorinus,42
Zhang Yi,42
Hossein Nasr,42
Godfrey of Fontaines,42
Asanga,42
Ikhwan al-Safa',42
Zhiyi,41
Anniceris,41
Hamid al-Din al-Kirmani,41
Wang Bi,41
David Malet Armstrong,41
Hu Shih,41
Zisi,41
Linji Yixuan,41
Leo Tolstoy,41
Guan Zhong,41
Shen Dao,40
Raghunatha Siromani,40
Alain de Lille,40
Jayanta Bhatta,40
Cleobulus,40
Khana,39
Edmund Burke,39
Benjamin Franklin,39
Liang Qichao,39
Lucius Annaeus Cornutus,39
Li Kui,39
Wang Yangming,39
Ch'ien Mu,39
B. R. Ambedkar,38
Theano,38
Li Ao,38
Larry Laudan,38
Yang Xiong,38
Vyasatirtha,38
Jean Piaget,38
Hui Shi,38
Zou Yan,37
Zichan,37
Wilhelm Wundt,37
Zhang Dongsun,37
Jayatirtha,37
