Name,RawCentrality
Plato,541
Aristotle,501
Cicero,282
Averroes,223
Anselm,209
Thomas Aquinas,201
Voltaire,194
Ibn Khaldun,194
Confucius,190
Al-Ghazali,182
Al-Farabi,176
Mozi,175
Bonaventure,169
Arius,169
Mencius,168
Socrates,162
Avicenna,161
Tertullian,154
Blaise Pascal,148
Solomon,146
David Hume,146
Immanuel Kant,144
Augustine of Hippo,142
Thucydides,139
Plotinus,139
Proclus,138
Meister Eckhart,137
Xenophon,135
William of Ockham,133
Henry of Ghent,132
Pseudo-Dionysius the Areopagite,131
Han Fei,127
Roger Bacon,126
Porphyry,126
Bede,124
Sun Tzu,124
Bertrand Russell,119
Marsilio Ficino,117
Chanakya,116
Al-Kindi,115
Peter Lombard,115
Duns Scotus,114
Karl Marx,111
Albertus Magnus,110
Giovanni Pico della Mirandola,107
Pythagoras,104
Alcuin,103
Edward N. Zalta,102
Baruch Spinoza,102
Xenocrates,101
Alvin Plantinga,99
Adi Shankara,99
Vladimir Solovyov,98
Nicolas Malebranche,98
Nicholas Wolterstorff,98
Isaac Newton,97
John Locke,97
Arcesilaus,97
Nicholas of Cusa,96
Apuleius,96
Carneades,96
Menedemus,96
Gorgias,95
Galen,95
Robert Grosseteste,95
Ramon Llull,94
Clement of Alexandria,93
Isidore of Seville,93
William James,93
Iamblichus,92
Edmund Husserl,92
Philo of Larissa,92
Lucretius,92
Peter van Inwagen,92
Jean-Luc Marion,91
Ammonius Hermiae,91
Friedrich Nietzsche,91
Speusippus,91
Gabriel Marcel,90
Syrianus,90
Damascius,89
Ammonius Saccas,89
Lucian,89
Alcinous,89
Ambrose,88
Numenius of Apamea,88
Thomas More,86
Paul of Venice,85
Boetius of Dacia,85
Chrysippus,84
Henri Bergson,84
Abhinavagupta,84
Theophrastus,83
Hippias,83
Epicurus,83
Valluvar,82
Democritus,81
Parmenides,81
Fakhr al-Din al-Razi,80
Pyrrho,79
Pierre Gassendi,77
G. E. Moore,76
John of Damascus,75
Aristides,75
Leo Strauss,74
Ibn Hazm,72
Bernard of Clairvaux,72
Ralph Waldo Emerson,72
Dante Alighieri,71
Cyril of Alexandria,71
Giordano Bruno,71
Ibn Arabi,71
Alasdair MacIntyre,71
Hasdai Crescas,70
Gersonides,70
Ibn Daud,70
Josiah Royce,70
Vasubandhu,69
Ramanuja,69
Martin Buber,69
Sextus Empiricus,68
Thales,68
Kapila,68
Ptolemy,67
Saul Kripke,67
Thomas Carlyle,67
Frederick Copleston,67
Hildegard of Bingen,66
Gregory of Nyssa,66
Tommaso Campanella,66
Athanasius of Alexandria,66
Gottlob Frege,66
Frithjof Schuon,65
Saadia Gaon,65
Posidonius,65
Francis of Assisi,65
Alexander of Aphrodisias,64
