Name,RawCentrality
Plato,158
Aristotle,130
Cicero,115
Porphyry,91
Socrates,90
Xenocrates,76
Proclus,76
Menedemus,72
Arcesilaus,72
Carneades,71
Apuleius,69
Plotinus,68
Philo of Larissa,68
Chrysippus,68
Syrianus,67
Speusippus,67
Iamblichus,66
Numenius of Apamea,65
Alcinous,65
Ammonius Hermiae,65
Damascius,65
Ammonius Saccas,64
Pythagoras,63
Sextus Empiricus,61
Pyrrho,61
Theophrastus,60
Arius,59
Epicurus,59
Galen,59
Gorgias,59
Posidonius,59
Democritus,59
Lucian,58
Xenophon,57
Clement of Alexandria,57
Zeno of Citium,57
Anselm,56
Thales,56
Zeno of Sidon,55
Epictetus,55
Marcus Aurelius,55
Hippias,53
Anaxagoras,53
Cleanthes,53
Panaetius,52
Confucius,51
Lucretius,51
Archytas,50
Alexander of Aphrodisias,49
Anaximander,47
Protagoras,47
Hippasus,47
Antisthenes,46
Stilpo,45
Empedocles,45
Al-Farabi,45
Parmenides,45
Aenesidemus,44
Strato of Lampsacus,44
Philostratus,43
Thrasymachus,43
Leucippus,43
Metrodorus of Lampsacus,42
Diodorus Cronus,41
Timon of Phlius,41
Euclid of Megara,41
Mencius,41
Valluvar,40
Apollonius of Tyana,40
Diogenes of Oenoanda,40
Prodicus,40
Ptolemy,40
Tertullian,40
Callicles,39
Anniceris,39
Favorinus,39
Bonaventure,39
Marsilio Ficino,39
Mozi,39
Epimenides,39
Edward N. Zalta,39
Cleobulus,38
Hippocrates,38
Blaise Pascal,38
Han Fei,38
Thucydides,37
Ibn Khaldun,37
Meister Eckhart,37
Lucius Annaeus Cornutus,37
Hegesias of Cyrene,37
Theano,36
Kapila,36
Pseudo-Dionysius the Areopagite,35
Henry of Ghent,35
Sun Tzu,35
Averroes,35
Adi Shankara,35
Giovanni Pico della Mirandola,35
Heraclides Ponticus,34
Clitomachus,34
Leo Strauss,34
Kanada,34
Jaimini,33
Chanakya,33
Abhinavagupta,32
Alvin Plantinga,32
Longinus,32
Al-Ghazali,32
Nicholas Wolterstorff,32
Peter van Inwagen,31
Edmund Husserl,31
Vasubandhu,31
Ramanuja,31
Albinus,31
Nagarjuna,30
Mahavira,30
Paul of Venice,30
Solomon,30
Shang Yang,30
Buddhaghosa,30
Gottlob Frege,30
Henri Bergson,29
Zhu Xi,29
Ralph Cudworth,29
Calcidius,29
Giordano Bruno,29
G. E. Moore,29
Saul Kripke,29
Gaius Marius Victorinus,28
Henry More,28
Ralph Waldo Emerson,28
Crispin Wright,28
Roman Ingarden,28
Bernard Bolzano,28
Crantor,28
Josiah Royce,28
Al-Kindi,28
David the Invincible,28
Emanuel Swedenborg,28
Yajnavalkya,28
Roderick Chisholm,28
