Name,RawCentrality
Walter Benjamin,55
Calcidius,55
Friedrich Waismann,55
Bernard Bolzano,55
Alan Turing,55
Archytas,55
Aenesidemus,55
Hippocrates,55
David the Invincible,54
Emmanuel Levinas,54
Jerry Fodor,54
Solomon Ibn Gabirol,54
Barry Stroud,54
Gaius Marius Victorinus,53
Martin Luther King Jr.,53
Theodoric of Freiberg,53
Crantor,53
Nancy Cartwright,53
Hippasus,53
Ernest Nagel,53
Max Planck,52
Frank P. Ramsey,52
Thomas Jefferson,52
Aedesius,52
Alhazen,52
Chrysanthius,52
Kanada,52
Metrodorus of Stratonicea,52
Rudolf Steiner,52
Jean Buridan,52
Maurice Merleau-Ponty,51
Han Yu,51
Giuseppe Peano,51
Morton White,51
Norman Malcolm,51
Hegesias of Cyrene,51
Shang Yang,51
Russ Shafer-Landau,50
Graham Priest,50
Li Si,50
Antisthenes,50
Wilhelm Windelband,50
Herbert Marcuse,49
Kang Youwei,49
Peter Galison,49
Keith Donnellan,49
Franz Brentano,49
Michael Walzer,49
Thrasymachus,49
John Peckham,49
Feng Youlan,48
Ruth Millikan,48
Archimedes,48
Jacques Lacan,48
Christine Korsgaard,48
Philostratus,48
J. J. C. Smart,48
Leucippus,48
Cheng Yi,48
Mahavira,48
Friedrich Engels,48
Cora Diamond,48
Metrodorus of Lampsacus,47
Cheng Hao,47
Stilpo,47
Nathan Salmon,47
Imre Lakatos,47
Wang Fuzhi,47
Casimir Lewy,47
Dong Zhongshu,47
Mou Zongsan,46
Timon of Phlius,46
Giles of Rome,46
Hans-Georg Gadamer,46
Alexander of Hales,46
Pierre Duhem,45
Huang Zongxi,45
Michael Polanyi,45
Diogenes of Oenoanda,45
David Malet Armstrong,45
Nicole Oresme,45
Sengzhao,45
Vincent Ferrer,44
Muhammad Iqbal,44
Gautama Buddha,44
Prodicus,44
Diodorus Cronus,44
Albert of Saxony,44
Bernard of Chartres,44
Callicles,44
Euclid of Megara,43
Dominicus Gundissalinus,43
Hossein Nasr,43
Zhang Yi,43
Shen Buhai,43
Marsilius of Inghen,43
Zhiyi,42
Yajnavalkya,42
Epimenides,42
Moses Mendelssohn,42
Benjamin Franklin,42
Ikhwan al-Safa',42
Hamid al-Din al-Kirmani,42
Favorinus,42
Guan Zhong,42
Godfrey of Fontaines,42
Hu Shih,42
Asanga,42
Wang Bi,42
Linji Yixuan,42
Zisi,42
Shen Dao,41
Anniceris,41
Leo Tolstoy,41
Ch'ien Mu,40
Li Kui,40
Jayanta Bhatta,40
Alain de Lille,40
Liang Qichao,40
Tom Regan,40
Raghunatha Siromani,40
Wang Yangming,40
Cleobulus,40
Isaiah Berlin,40
Wilhelm Wundt,39
Li Ao,39
Lucius Annaeus Cornutus,39
Yang Xiong,39
Khana,39
Jean Piaget,39
Hui Shi,39
Edmund Burke,39
Zhang Dongsun,38
Vyasatirtha,38
Larry Laudan,38
Zou Yan,38
Cai Yuanpei,38
Theano,38
B. R. Ambedkar,38
Zichan,38
Alexander Bain,38
Jayatirtha,37
Qiu Renzong,37
Gaozi,37
Zhou Guoping,37
Wilhelm Dilthey,37
Gottfried Leibniz,37
Tsang Lap Chuen,37
Su Qin,37
Herbert A. Simon,36
Herbert Spencer,36
Antiphon,36
Kabir,36
Henry David Thoreau,36
Mary Midgley,35
Umberto Eco,35
Pierre-Joseph Proudhon,35
Oscar Horta,34
Steven Best,34
James Rachels,34
Cass Sunstein,34
David Sztybel,34
Carol J. Adams,34
Thomas Lepeltier,34
Daniel Dombrowski,34
Sue Donaldson,34
Abraham ibn Ezra,34
Amartya Sen,34
Albert Camus,34
John Adams,34
Shinran,34
Leon Trotsky,34
Tom Beauchamp,33
Marvin Minsky,33
Mikhail Bakunin,33
Samuel Ibn Tibbon,33
Tyler Burge,33
Naropa,33
Peter Kropotkin,33
Ashtavakra,33
Gary L. Francione,33
Nichiren,33
Agastya,32
Ibn Tufail,32
Bodhidharma,32
Ned Block,32
John Maynard Keynes,32
Mark Rowlands,32
Guy Debord,32
Alvin Goldman,32
Anil Gupta,32
Jeff Sebo,31
Will Kymlicka,31
Andy Clark,31
Karl Jaspers,31
Judith Butler,31
Gary Varner,31
Nagasena,31
Steve F. Sapontzis,31
John Hadley,31
Clare Palmer,31
Ernst Mach,31
Laurence BonJour,30
Stephen R. L. Clark,30
Carl Schmitt,30
Bernard Rollin,30
Moses Hess,30
Zeno of Elea,30
Keith DeRose,30
Uddalaka Aruni,30
Chaitanya Mahaprabhu,30
David DeGrazia,30
Bahya ibn Paquda,30
Mario Bunge,30
Leonard Nelson,30
Paola Cavalieri,30
Alfred Russel Wallace,30
James Pryor,30
Karl Christian Friedrich Krause,30
Catia Faria,30
Dale Jamieson,30
Jessica Pierce,30
Priscilla Cohn,29
Kristin Andrews,29
Donald T. Campbell,29
Simplicius of Cilicia,29
Henry George,29
Abu Ma'shar al-Balkhi,29
Josephine Donovan,29
Abdolkarim Soroush,29
Johann Wolfgang von Goethe,29
Denis Diderot,29
Johann Gottlieb Fichte,28
James Mill,28
Ibn Miskawayh,28
Abu Hatim al-Razi,28
Thomas Paine,28
John von Neumann,28
Lamennais,28
Cornel West,28
Niels Bohr,28
Salomon Maimon,27
Antonio Gramsci,27
Mazdak,27
Julia Kristeva,27
Al-Ash'ari,27
Ayn Rand,27
Simone Weil,27
Isocrates,27
Joseph Soloveitchik,26
Ibn Furak,26
Gaston Bachelard,26
Mostafa Malekian,26
Louis Althusser,26
John Calvin,26
Cleomedes,26
Reza Davari Ardakani,26
Taha Abdurrahman,26
Aristoxenus,26
Daniel Kahneman,26
Joseph Solomon Delmedigo,26
Geminus,26
Paracelsus,26
Francisco Varela,26
Samuel Johnson,25
Isaac Orobio de Castro,25
Yi I,25
Syed Muhammad Naquib al-Attas,25
Themistius,25
Antonio Negri,25
Isaac Cardoso,25
Jalal al-Din al-Dawani,25
Francisco Sanches,25
Alcibiades,25
Abraham Maslow,25
Max Stirner,25
Robert Boyle,25
Gangesha Upadhyaya,25
Ibn Kammuna,25
Milton Friedman,25
Nasir al-Din Tusi,25
Al-Baqillani,25
Rosa Luxemburg,25
John Anderson,24
Donald O. Hebb,24
Ibn Tzaddik,24
Stanley Cavell,24
Dogen,24
David Benatar,24
Erik Erikson,24
Georges Bataille,24
Pierre Bayle,24
Friedrich Hayek,23
bell hooks,23
Sidney Hook,23
Nancy Fraser,23
John B. Watson,23
Shvetashvatara,23
Alain Badiou,23
Muhammad Abduh,23
Markandeya,23
David Hilbert,23
Pietro Pomponazzi,22
Francis Hutcheson,22
David Ricardo,22
Michael Hardt,22
Alexander Herzen,22
William Blake,22
John Hick,22
Ahmad ibn Hanbal,22
Colin McGinn,22
Roland Barthes,21
Ferdinand de Saussure,21
Mary Wollstonecraft,21
Donna Haraway,21
Paul Deussen,21
Samuel Taylor Coleridge,21
Alexander Bogdanov,21
Arthur Koestler,21
Christian Wolff,21
Stephen Toulmin,21
Ludwig von Mises,21
Luce Irigaray,21
B. F. Skinner,21
Sri Aurobindo,21
Wendy Brown,21
A. C. Grayling,20
Oswald Spengler,20
Basava,20
Ernst Mayr,20
Henry Sidgwick,20
George Herbert Mead,20
Hermann Lotze,20
Robert Stern,20
Hunayn ibn Ishaq,20
Francisco J. Ayala,20
Patricia Hill Collins,20
Charles Fourier,20
Kurt Lewin,20
Rachel Carson,20
Paul Edwards,20
Kenneth Arrow,20
Karl Kautsky,20
Cornelius Castoriadis,20
Andronicus of Rhodes,20
Abu Yaqub al-Sijistani,20
George Eliot,20
Gotthold Ephraim Lessing,20
Sandra Harding,20
Hermann von Helmholtz,19
Sir William Hamilton,19
Narahari Tirtha,19
Jean Baudrillard,19
Theodor Adorno,19
Peter of Spain,19
Eduard Von Hartmann,19
Jinul,19
Al-Hilli,19
Zongmi,19
Victor Cousin,18
Angiras,18
Jonathan Edwards,18
Max Scheler,18
Emil Cioran,18
Joseph Priestley,18
Georgi Plekhanov,18
Lawrence Kohlberg,18
Fazang,18
Vasishtha,18
Werner Heisenberg,18
Erich Fromm,18
Dana Scott,18
Georg Cantor,18
James Mark Baldwin,18
Max Horkheimer,18
Rabindranath Tagore,18
Sarvepalli Radhakrishnan,18
Giorgio Agamben,18
George Boole,18
Michel Onfray,18
Catharine A. MacKinnon,18
Angela Davis,17
Murray Bookchin,17
Christopher Hitchens,17
Dugald Stewart,17
Roger Scruton,17
Clarence Irving Lewis,17
Malcolm X,17
Eduard Bernstein,17
Iris Murdoch,17
Johann Gottfried Herder,17
Thomas Brown,17
Moses ibn Ezra,17
