Name,Date,Century,Wikipedia_Link
Firmin Abauzit,1679??767,17th,https://en.wikipedia.org/wiki/Firmin_Abauzit
Yves Marie AndrÃ©,1675??764,17th,https://en.wikipedia.org/wiki/Yves_Marie_Andr%C3%A9
Antoine Arnauld,1612??694[1][2]12[3][4]*,17th,https://en.wikipedia.org/wiki/Antoine_Arnauld
Mary Astell,1666??731[1][3][4],17th,https://en.wikipedia.org/wiki/Mary_Astell
John Balguy,1686??748,17th,https://en.wikipedia.org/wiki/John_Balguy
Pierre Bayle,1647??706[1][2]12[3][4],17th,https://en.wikipedia.org/wiki/Pierre_Bayle
Richard Bentley,1662??742[3],17th,https://en.wikipedia.org/wiki/Richard_Bentley
George Berkeley,1685??753[1][2]12[3][4],17th,https://en.wikipedia.org/wiki/George_Berkeley
FranÃ§ois Bernier,1620??688[3],17th,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Bernier
Hugh Binning,1627??653,17th,https://en.wikipedia.org/wiki/Hugh_Binning
Samuel Bold,1649??737[3],17th,https://en.wikipedia.org/wiki/Samuel_Bold
Robert Boyle,1627??691[1][2]12[3][4],17th,https://en.wikipedia.org/wiki/Robert_Boyle
Peter Browne,1666??735[3],17th,https://en.wikipedia.org/wiki/Peter_Browne_(theologian)
Thomas Browne,1605??682,17th,https://en.wikipedia.org/wiki/Thomas_Browne
Claude Buffier,1661??737[3],17th,https://en.wikipedia.org/wiki/Claude_Buffier
Richard Burthogge,1638??704[3],17th,https://en.wikipedia.org/wiki/Richard_Burthogge
Joseph Butler,1692??752[1][2]12[3],17th,https://en.wikipedia.org/wiki/Joseph_Butler
Gershom Carmichael,c. 1672??729[3],17th,https://en.wikipedia.org/wiki/Gershom_Carmichael
Margaret Cavendish,1623??673[1][3],17th,https://en.wikipedia.org/wiki/Margaret_Cavendish
Walter Charleton,1619??707[3],17th,https://en.wikipedia.org/wiki/Walter_Charleton
William Chillingworth,1602??644[3],17th,https://en.wikipedia.org/wiki/William_Chillingworth
Samuel Clarke,1675??729[1][2]12[3][4],17th,https://en.wikipedia.org/wiki/Samuel_Clarke
Johannes Clauberg,1622??665[3],17th,https://en.wikipedia.org/wiki/Johannes_Clauberg
Catherine Trotter Cockburn,1679??749[1][3][4],17th,https://en.wikipedia.org/wiki/Catherine_Trotter_Cockburn
Arthur Collier,1680??732[1][3],17th,https://en.wikipedia.org/wiki/Arthur_Collier
Anthony Collins,1676??729[2]12[3][4],17th,https://en.wikipedia.org/wiki/Anthony_Collins_(philosopher)
Lady Anne Finch Conway,1631??679[1][2]12[3][4],17th,https://en.wikipedia.org/wiki/Lady_Anne_Finch_Conway
Geraud de Cordemoy,1626??684[1][3][4],17th,https://en.wikipedia.org/wiki/Geraud_de_Cordemoy
Jean-Pierre de Crousaz,1663??750,17th,https://en.wikipedia.org/wiki/Jean-Pierre_de_Crousaz
Ralph Cudworth,1617??688[2]12[3],17th,https://en.wikipedia.org/wiki/Ralph_Cudworth
Nathaniel Culverwel,1619??651[3],17th,https://en.wikipedia.org/wiki/Nathaniel_Culverwel
Richard Cumberland,c. 1631??718[1][3],17th,https://en.wikipedia.org/wiki/Richard_Cumberland_(philosopher)
John Theophilus Desaguliers,1683??744,17th,https://en.wikipedia.org/wiki/John_Theophilus_Desaguliers
Robert Desgabets,1610??678[3][4],17th,https://en.wikipedia.org/wiki/Robert_Desgabets
Kenelm Digby,1603??665[3],17th,https://en.wikipedia.org/wiki/Kenelm_Digby
Humphry Ditton,1675??715,17th,https://en.wikipedia.org/wiki/Humphry_Ditton
Elisabeth of Bohemia,1618??680[1][3],17th,"https://en.wikipedia.org/wiki/Elisabeth_of_Bohemia,_Princess_Palatine"
Michelangelo Fardella,1646??718[3],17th,https://en.wikipedia.org/wiki/Michelangelo_Fardella
FranÃ§ois de Salignac de la Mothe-FÃ©nelon,1651??715[3],17th,https://en.wikipedia.org/wiki/Fran%C3%A7ois_de_Salignac_de_la_Mothe-F%C3%A9nelon
Bernard le Bovier de Fontenelle,1657??757[1][3],17th,https://en.wikipedia.org/wiki/Bernard_le_Bovier_de_Fontenelle
Simon Foucher,1644??696[3],17th,https://en.wikipedia.org/wiki/Simon_Foucher
Gadadhara Bhattacharya,1604??709[3],17th,https://en.wikipedia.org/w/index.php?title=Gadadhara_Bhattacharya&action=edit&redlink=1
John Gay,1685??732[1],17th,https://en.wikipedia.org/wiki/John_Gay
Arnold Geulincx,1624??669[1][2]12[3],17th,https://en.wikipedia.org/wiki/Arnold_Geulincx
Joseph Glanvill,1636??680[1][3],17th,https://en.wikipedia.org/wiki/Joseph_Glanvill
Baltasar GraciÃ¡n y Morales,1601??658[1],17th,https://en.wikipedia.org/wiki/Baltasar_Graci%C3%A1n_y_Morales
Guido Grandi,1671??742,17th,https://en.wikipedia.org/wiki/Guido_Grandi
Han Wonjin,1682??751[3],17th,https://en.wikipedia.org/w/index.php?title=Han_Wonjin&action=edit&redlink=1
James Harrington,1611??677[3],17th,https://en.wikipedia.org/wiki/James_Harrington_(author)
Franciscus Mercurius van Helmont,1614??698[3],17th,https://en.wikipedia.org/wiki/Franciscus_Mercurius_van_Helmont
Huang Zongxi,1610??695[1],17th,https://en.wikipedia.org/wiki/Huang_Zongxi
Pierre Daniel Huet,1630??721[3],17th,https://en.wikipedia.org/wiki/Pierre_Daniel_Huet
Francis Hutcheson,1694??746[1][2]12[3],17th,https://en.wikipedia.org/wiki/Francis_Hutcheson_(philosopher)
Christiaan Huygens,1629??695[1],17th,https://en.wikipedia.org/wiki/Christiaan_Huygens
Ito Jinsai,1627??705[3],17th,https://en.wikipedia.org/wiki/Ito_Jinsai
Isaac Cardoso,1603 or 1604.,17th,https://en.wikipedia.org/wiki/Isaac_Cardoso
Isaac Orobio de Castro,c.1617??687,17th,https://en.wikipedia.org/wiki/Isaac_Orobio_de_Castro
