Name,Date,Century,Wikipedia_Link
Johannes Kepler,1571??630[1][2][3]*,15th??6th,https://en.wikipedia.org/wiki/Johannes_Kepler
Isaac La PeyrÃ¨re,1596??676[1],15th??6th,https://en.wikipedia.org/wiki/Isaac_La_Peyr%C3%A8re
Justus Lipsius,1547??606[2][3],15th??6th,https://en.wikipedia.org/wiki/Justus_Lipsius
Liu Tsung-chou,1578??645[1],15th??6th,https://en.wikipedia.org#cite_note-refC-1
Martin Luther,1483??546[1][4]12[2],15th??6th,https://en.wikipedia.org/wiki/Martin_Luther
NiccolÃ² Machiavelli,1469??527[1][4]12[2][3],15th??6th,https://en.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli
John Major,1467??550[4]12[2],15th??6th,https://en.wikipedia.org/wiki/John_Major_(philosopher)
Juan de Mariana,1536??624[1],15th??6th,https://en.wikipedia.org/wiki/Juan_de_Mariana
Jacopo Mazzoni,1548??598,15th??6th,https://en.wikipedia.org/wiki/Jacopo_Mazzoni
BartolomÃ© de Medina,1527??580[1],15th??6th,https://en.wikipedia.org/wiki/Bartolom%C3%A9_de_Medina_(theologian)
Philipp Melanchthon,1497??560[2],15th??6th,https://en.wikipedia.org/wiki/Philipp_Melanchthon
Marin Mersenne,1588??648[1][2],15th??6th,https://en.wikipedia.org/wiki/Marin_Mersenne
Judah Messer Leon,c. 1425 ??c. 1495[2],15th??6th,https://en.wikipedia.org/wiki/Judah_Messer_Leon
Mikyo Dorje,1507??554[2],15th??6th,https://en.wikipedia.org/wiki/Mikyo_Dorje
Muhammad Baqir Mir Damad,died 1631[2],15th??6th,https://en.wikipedia.org/wiki/Mir_Damad
Luis de Molina,1535??600[1][4]12[2],15th??6th,https://en.wikipedia.org/wiki/Luis_de_Molina
Michel de Montaigne,1533??592[1][4]12[2][3],15th??6th,https://en.wikipedia.org/wiki/Michel_de_Montaigne
Thomas More,1478??535[1][3]*,15th??6th,https://en.wikipedia.org/wiki/Thomas_More
Mulla Sadra,1571??640[4]12[2],15th??6th,https://en.wikipedia.org/wiki/Mulla_Sadra
Nicholas of Cusa,1401??464[1][4]12[2][3]*,15th??6th,https://en.wikipedia.org/wiki/Nicholas_of_Cusa
Agostino Nifo,1470??538[2],15th??6th,https://en.wikipedia.org/wiki/Agostino_Nifo
Richard Overton,c. 1599 ??1664[2],15th??6th,https://en.wikipedia.org/wiki/Richard_Overton_(pamphleteer)
Paracelsus,1493??541[1][2],15th??6th,https://en.wikipedia.org/wiki/Paracelsus
Francesco Patrizi da Cherso,1529??597[2][3],15th??6th,https://en.wikipedia.org/wiki/Francesco_Patrizi_da_Cherso
Giovanni Pico della Mirandola,1463??494[1][4]12[2][3]*,15th??6th,https://en.wikipedia.org/wiki/Giovanni_Pico_della_Mirandola
Pietro Pomponazzi,1462??525[1][4]12[2][3],15th??6th,https://en.wikipedia.org/wiki/Pietro_Pomponazzi
FranÃ§ois Rabelais,1493??553[2],15th??6th,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Rabelais
Petrus Ramus,1515??572[1][2][3],15th??6th,https://en.wikipedia.org/wiki/Petrus_Ramus
Raghunatha Siromani,c. 1477??547,15th??6th,https://en.wikipedia.org/wiki/Raghunatha_Siromani
Francisco Sanches,1551??623[1][2],15th??6th,https://en.wikipedia.org/wiki/Francisco_Sanches
Julius Caesar Scaliger,1484??558,15th??6th,https://en.wikipedia.org/wiki/Julius_Caesar_Scaliger
Michal SedziwÃ³j,1566??636,15th??6th,https://en.wikipedia.org/wiki/Michal_Sedziw%C3%B3j
John Selden,1584??654[2],15th??6th,https://en.wikipedia.org/wiki/John_Selden
Francesco Silvestri,1474??528[2],15th??6th,https://en.wikipedia.org/wiki/Francesco_Silvestri
Sosan Hyujong,1520??604[2],15th??6th,https://en.wikipedia.org/wiki/Sosan_Hyujong
Domingo de Soto,1494??560[1][2],15th??6th,https://en.wikipedia.org/wiki/Domingo_de_Soto
Francisco SuÃ¡rez,1548??617[1][4]12[2][3]*,15th??6th,https://en.wikipedia.org/wiki/Francisco_Su%C3%A1rez
Nicolaus Taurellus,1547??606,15th??6th,https://en.wikipedia.org/wiki/Nicolaus_Taurellus
Bernardino Telesio,1509??588[1][2][3],15th??6th,https://en.wikipedia.org/wiki/Bernardino_Telesio
Teresa of Avila,1515??582[1],15th??6th,https://en.wikipedia.org/wiki/Teresa_of_Avila
Francisco Toledo,1532??596[1][2],15th??6th,https://en.wikipedia.org/wiki/Franciscus_Toletus
Lorenzo Valla,1406??457[1][4]12[2][3]*,15th??6th,https://en.wikipedia.org/wiki/Lorenzo_Valla
Vallabhacharya,1479??531[2],15th??6th,https://en.wikipedia.org/wiki/Vallabhacharya
Vyasatirtha,c. 1460??539,15th??6th,https://en.wikipedia.org/wiki/Vyasatirtha
"Lucilio ""Giulio Cesare"" Vanini",1585??619[1],15th??6th,https://en.wikipedia.org/wiki/Lucilio_Vanini
Gabriel Vasquez,1549??604[1],15th??6th,https://en.wikipedia.org/wiki/Gabriel_Vasquez
Nicoletto Vernia,1442??499[2],15th??6th,https://en.wikipedia.org/wiki/Nicoletto_Vernia
Francisco de Vitoria,1492??546[1][4]12[2],15th??6th,https://en.wikipedia.org/wiki/Francisco_de_Vitoria
Juan LuÃ­s Vives,1492??540[1][2],15th??6th,https://en.wikipedia.org/wiki/Juan_Lu%C3%ADs_Vives
Wang Yangming,1472??529[1][4]12[2],15th??6th,https://en.wikipedia.org/wiki/Wang_Yangming
Thomas White,1593??676[2],15th??6th,https://en.wikipedia.org/wiki/Thomas_White_(philosopher)
Yi Hwang,1501??570[2],15th??6th,https://en.wikipedia.org/wiki/Yi_Hwang
Yi I,1536??584[2],15th??6th,https://en.wikipedia.org/wiki/Yi_I
Jacopo Zabarella,1533??589[1][2][3],15th??6th,https://en.wikipedia.org/wiki/Jacopo_Zabarella
