Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Century
Agastya,0.0099040544722995,0.0086660476632621,0.3014604511555424,0.0008126364690809,0.0017350427345309,0,32,1000.0,0.0,BC
Ashtavakra,0.0102135561745589,0.0080470442587434,0.2935376661639406,0.0002159459876397,0.0019617988365452,0,33,1000.0,0.0,BC
Lopamudra,0.000928505106778,0.0006190034045187,0.2493475804186207,5.851593692869694e-07,7.968323624167239e-05,0,3,1950.0,0.0,BC
Markandeya,0.0071185391519653,0.0037140204271123,0.2686006231156449,1.999079102915717e-05,0.0005549388601379,0,23,1000.0,0.0,BC
Parashara,0.0034045187248529,0.007737542556484,0.2408993110217415,4.461991545611171e-05,0.0002409232025544,0,11,1200.0,0.0,BC
Uddalaka Aruni,0.0092850510677808,0.0086660476632621,0.3145702560347572,0.0013061901827823,0.0027595093597063,0,30,1000.0,0.0,BC
Ashvapati,0.0,0.0368307025688641,0.0,0.0,4.997075122549391e-32,0,0,1000.0,0.0,BC
