Name,Date,Century,Wikipedia_Link
Pamela Sue Anderson,1955??017,20th,https://en.wikipedia.org/wiki/Pamela_Sue_Anderson
Kristin Andrews,born 1971,20th,https://en.wikipedia.org/wiki/Kristin_Andrews
Antanas Andrijauskas,born 1948,20th,https://en.wikipedia.org/wiki/Antanas_Andrijauskas
Irving Anellis,1946??013,20th,https://en.wikipedia.org/wiki/Irving_Anellis
Ian Angus,born 1949,20th,https://en.wikipedia.org/wiki/Ian_Angus_(philosopher)
Julia Annas,born 1946,20th,https://en.wikipedia.org/wiki/Julia_Annas
G. E. M. Anscombe,1918??001[a][b][c][d],20th,https://en.wikipedia.org/wiki/G._E._M._Anscombe
Keith Ansell-Pearson,born 1960,20th,https://en.wikipedia.org/wiki/Keith_Ansell-Pearson
Dario Antiseri,born 1940,20th,https://en.wikipedia.org/wiki/Dario_Antiseri
Maria Rosa Antognazza,born 1964,20th,https://en.wikipedia.org/wiki/Maria_Rosa_Antognazza
John P. Anton,1920??014,20th,https://en.wikipedia.org/wiki/John_P._Anton
G. Aldo Antonelli,1962??015,20th,https://en.wikipedia.org/wiki/G._Aldo_Antonelli
Karl-Otto Apel,1922??017,20th,https://en.wikipedia.org/wiki/Karl-Otto_Apel
Kwame Anthony Appiah,born 1954,20th,https://en.wikipedia.org/wiki/Kwame_Anthony_Appiah
Richard Appignanesi,born 1940,20th,https://en.wikipedia.org/wiki/Richard_Appignanesi
Richard Aquila,born 1944,20th,https://en.wikipedia.org/wiki/Richard_Aquila
Lennart Ãqvist,born 1932,20th,https://en.wikipedia.org/wiki/Lennart_%C3%85qvist
IstvÃ¡n Aranyosi,born 1975,20th,https://en.wikipedia.org/wiki/Istv%C3%A1n_Aranyosi
Reza Davari Ardakani,born 1933,20th,https://en.wikipedia.org/wiki/Reza_Davari_Ardakani
Hannah Arendt,1906??975[a][b][c][d][e],20th,https://en.wikipedia.org/wiki/Hannah_Arendt
TÃ¼rker Armaner,born 1968,20th,https://en.wikipedia.org/wiki/T%C3%BCrker_Armaner
Leslie Armour,1931??014,20th,https://en.wikipedia.org/wiki/Leslie_Armour
A. H. Armstrong,1909??997,20th,https://en.wikipedia.org/wiki/A._H._Armstrong
David Malet Armstrong,1926??014[a][b][c][d],20th,https://en.wikipedia.org/wiki/David_Malet_Armstrong
