Name,Date,Century,Wikipedia_Link
Christian August Crusius,1715??775[a][d],18th,https://en.wikipedia.org/wiki/Christian_August_Crusius
Jean le Rond d'Alembert,1717??783[a][b][c][d],18th,https://en.wikipedia.org/wiki/Jean_le_Rond_d%27Alembert
Joseph de Maistre,1753??821[a][b][c],18th,https://en.wikipedia.org/wiki/Joseph_de_Maistre
Emerich de Vattel,1714??767,18th,https://en.wikipedia.org/wiki/Emerich_de_Vattel
Denis Diderot,1713??784[a][b][c][d],18th,https://en.wikipedia.org/wiki/Denis_Diderot
Ãmilie du ChÃ¢telet,1706??749[d],18th,https://en.wikipedia.org/wiki/%C3%89milie_du_Ch%C3%A2telet
Johann Augustus Eberhard,1739??809[d],18th,https://en.wikipedia.org/wiki/Johann_Augustus_Eberhard
Jonathan Edwards,1703??758[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Jonathan_Edwards_(theologian)
Adam Ferguson,1723??816[a][b][c][d],18th,https://en.wikipedia.org/wiki/Adam_Ferguson
Johann Gottlieb Fichte,1762??814[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Gottlieb_Fichte
Immanuel Hermann Fichte,1797??879,18th,https://en.wikipedia.org/wiki/Immanuel_Hermann_Fichte
David Fordyce,1711??751[a],18th,https://en.wikipedia.org/wiki/David_Fordyce
Charles Fourier,1772??837[a],18th,https://en.wikipedia.org/wiki/Charles_Fourier
Benjamin Franklin,1706??790[b][c][d],18th,https://en.wikipedia.org/wiki/Benjamin_Franklin
Jakob Friedrich Fries,1773??843[d],18th,https://en.wikipedia.org/wiki/Jakob_Friedrich_Fries
Alexander Gerard,1728??795[d],18th,https://en.wikipedia.org/wiki/Alexander_Gerard
Giacinto Sigismondo Gerdil,1718??802[d],18th,https://en.wikipedia.org/wiki/Giacinto_Sigismondo_Gerdil
Thomas Gisbourne,1758??846,18th,https://en.wikipedia.org/wiki/Thomas_Gisbourne
William Godwin,1756??836[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/William_Godwin
Johann Wolfgang von Goethe,1749??832[a][b][c][d],18th,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe
George Grote,1794??871,18th,https://en.wikipedia.org/wiki/George_Grote
Johann Georg Hamann,1730??788[a][d][e],18th,https://en.wikipedia.org/wiki/Johann_Georg_Hamann
