Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Century
Isaac Newton,0.0414732281027545,0.0219746208604147,0.384276636260756,0.0074530768225288,0.0357655281034243,0,134,1642.0,0.0,17th
Huang Zongxi,0.0139275766016713,0.0136180748994119,0.320343138755395,2.220404453656313e-05,0.0074957132875515,0,45,1610.0,0.0,17th
Wang Fuzhi,0.01454658000619,0.0136180748994119,0.3208720487258222,5.810693905283469e-05,0.0076365998641311,0,47,1619.0,0.0,17th
Ralph Cudworth,0.0191891055400804,0.007737542556484,0.3441296851226649,0.002126142987444,0.0314809653478632,0,62,1617.0,0.0,17th
Henry More,0.0194986072423398,0.0018570102135561,0.3471623868850892,0.0013736666324735,0.0314964881340227,0,63,1614.0,0.0,17th
Blaise Pascal,0.0603528319405756,0.0383782110801609,0.4034213344414745,0.004379188182789,0.0990719600680053,0,195,1623.0,0.0,17th
Emanuel Swedenborg,0.0201176106468585,0.0055710306406685,0.3587843154060424,0.0005856050433477,0.0333136036203883,0,65,1688.0,0.0,17th
Christiaan Huygens,0.0040235221293717,0.0068090374497059,0.3194304802404223,0.0005307830167267,0.0040799215021307,0,13,1629.0,0.0,17th
John Ray,0.0040235221293717,0.0027855153203342,0.3423112450298373,4.0904050200852135e-05,0.0049403616541495,0,13,1627.0,0.0,17th
Voltaire,0.0990405447229959,0.0244506344784896,0.4511875193737958,0.0182807881739809,0.0740384775135735,0,320,1694.0,0.0,17th
