Name,Date,Century,Wikipedia_Link
Muhammad Abduh,1849??905[d],19th,https://en.wikipedia.org/wiki/Muhammad_Abduh
Robert Adamson,1852??902,19th,https://en.wikipedia.org/wiki/Robert_Adamson_(philosopher)
Jamal al-Din al-Afghani,1839??897[d],19th,https://en.wikipedia.org/wiki/Jamal_al-Din_al-Afghani
Kazimierz Ajdukiewicz,1890??963[b][c][d],19th,https://en.wikipedia.org/wiki/Kazimierz_Ajdukiewicz
Konstantin Sergeyevich Aksakov,1817??860,19th,https://en.wikipedia.org/wiki/Konstantin_Sergeyevich_Aksakov
Samuel Alexander,1859??938[a][b][c][d],19th,https://en.wikipedia.org/wiki/Samuel_Alexander
B. R. Ambedkar,1891??956,19th,https://en.wikipedia.org/wiki/B._R._Ambedkar
Henri-FrÃ©dÃ©ric Amiel,1821??881,19th,https://en.wikipedia.org/wiki/Henri-Fr%C3%A9d%C3%A9ric_Amiel
John Anderson,1893??962[b][c][d],19th,https://en.wikipedia.org/wiki/John_Anderson_(philosopher)
Roberto ArdigÃ²,1828??920,19th,https://en.wikipedia.org/wiki/Roberto_Ardig%C3%B2
Valentin Ferdinandovich Asmus,1894??975[d],19th,https://en.wikipedia.org/wiki/Valentin_Ferdinandovich_Asmus
Sri Aurobindo,1872??950[b][c][d],19th,https://en.wikipedia.org/wiki/Sri_Aurobindo
Richard Avenarius,1843??896[a][b][c][d],19th,https://en.wikipedia.org/wiki/Richard_Avenarius
Gaston Bachelard,1884??962[a][b][c][d],19th,https://en.wikipedia.org/wiki/Gaston_Bachelard
Alfred Baeumler,1887??968,19th,https://en.wikipedia.org/wiki/Alfred_Baeumler
Alexander Bain,1818??903[a][b][c],19th,https://en.wikipedia.org/wiki/Alexander_Bain_(philosopher)
Mikhail Bakhtin,1895??975[a][b][c][d],19th,https://en.wikipedia.org/wiki/Mikhail_Bakhtin
Mikhail Bakunin,1814??876[a][b][c][d],19th,https://en.wikipedia.org/wiki/Mikhail_Bakunin
James Mark Baldwin,1861??934,19th,https://en.wikipedia.org/wiki/James_Mark_Baldwin
Karl Barth,1886??968[b][c][d],19th,https://en.wikipedia.org/wiki/Karl_Barth
Jules BarthÃ©lemy-Saint-Hilaire,1805??895,19th,https://en.wikipedia.org/wiki/Jules_Barth%C3%A9lemy-Saint-Hilaire
