Id,Label,Type,MovieCount,Genres
김환_Act_1,김환,Actor,1,"['공포(호러)', '멜로/로맨스']"
조영민_Act_1,조영민,Actor,1,"['코미디', '멜로/로맨스']"
이세호_Act_1,이세호,Actor,2,"['액션', '범죄']"
전은주_Act_1,전은주,Actor,1,['드라마']
김지웅_Act_1,김지웅,Actor,1,['액션']
양정화_Act_1,양정화,Actor,1,"['판타지', '애니메이션', '어드벤처']"
권오철_Act_1,권오철,Actor,2,"['액션', '코미디']"
홍재균_Act_1,홍재균,Actor,1,"['액션', '범죄']"
배소영_Act_1,배소영,Actor,1,"['액션', '범죄']"
김태형_Act_1,김태형,Actor,2,"['드라마', '공연']"
김형우_Act_1,김형우,Actor,1,['코미디']
김성환_Act_1,김성환,Actor,1,['코미디']
황인직_Act_1,황인직,Actor,1,"['액션', 'SF', '판타지']"
최성락_Act_1,최성락,Actor,1,"['액션', '범죄']"
이창윤_Act_1,이창윤,Actor,1,['코미디']
원우_Act_1,원우,Actor,1,"['공연', '다큐멘터리']"
신정만_Act_1,신정만,Actor,1,"['스릴러', '범죄']"
공대유_Act_1,공대유,Actor,1,"['액션', '범죄']"
박인규_Act_1,박인규,Actor,1,"['액션', 'SF', '판타지']"
이재혁_Act_1,이재혁,Actor,2,"['액션', '범죄']"
유정호_Act_1,유정호,Actor,1,['코미디']
양요섭_Act_1,양요섭,Actor,1,['공연']
김태연_Act_1,김태연,Actor,1,"['SF', '가족', '멜로/로맨스']"
주효경_Act_1,주효경,Actor,1,['드라마']
전경희_Act_1,전경희,Actor,1,"['액션', 'SF', '판타지']"
염서현_Act_1,염서현,Actor,1,['미스터리']
오현승_Act_1,오현승,Actor,1,"['액션', '범죄']"
최민혁_Act_1,최민혁,Actor,1,['코미디']
김소진_Act_1,김소진,Actor,1,"['액션', '드라마']"
이유미_Act_1,이유미,Actor,1,"['액션', '스릴러']"
박광복_Act_1,박광복,Actor,2,"['사극', '액션', '스릴러', '공포(호러)']"
장정희_Act_1,장정희,Actor,1,"['코미디', '멜로/로맨스']"
문해민_Act_1,문해민,Actor,1,['멜로/로맨스']
