Name,RawCentrality
Plato,625
Aristotle,561
Cicero,308
Averroes,259
Voltaire,232
Confucius,232
Ibn Khaldun,229
Anselm,224
Thomas Aquinas,217
Mozi,210
Al-Ghazali,208
Mencius,200
Al-Farabi,197
Arius,180
David Hume,177
Bonaventure,176
Avicenna,175
Immanuel Kant,175
Socrates,173
Bertrand Russell,161
Blaise Pascal,160
Solomon,159
Thucydides,159
Tertullian,157
Xenophon,155
Augustine of Hippo,154
Plotinus,152
Han Fei,147
Proclus,145
Bede,145
Sun Tzu,144
William of Ockham,144
Meister Eckhart,142
Karl Marx,140
Chanakya,136
Henry of Ghent,136
Pseudo-Dionysius the Areopagite,135
Roger Bacon,133
Porphyry,128
William James,124
Al-Kindi,124
Friedrich Nietzsche,122
Duns Scotus,121
Marsilio Ficino,121
Baruch Spinoza,120
Peter Lombard,119
John Locke,118
Alvin Plantinga,116
Edmund Husserl,114
Albertus Magnus,114
Edward N. Zalta,113
Nicholas Wolterstorff,111
Giovanni Pico della Mirandola,111
Nicolas Malebranche,110
Vladimir Solovyov,108
Alcuin,107
Adi Shankara,106
Pythagoras,106
Henri Bergson,105
Peter van Inwagen,105
Isaac Newton,104
Gorgias,104
Jean-Luc Marion,102
Gabriel Marcel,102
Xenocrates,102
Lucretius,101
Nicholas of Cusa,99
Arcesilaus,98
Robert Grosseteste,98
Galen,97
Menedemus,97
Carneades,97
Apuleius,97
Ramon Llull,97
Isidore of Seville,96
Ambrose,95
Clement of Alexandria,94
Lucian,93
Philo of Larissa,93
Iamblichus,93
Thomas More,93
Ammonius Hermiae,92
Chrysippus,92
Speusippus,92
Syrianus,91
Valluvar,91
Damascius,90
Ammonius Saccas,90
Alcinous,90
Numenius of Apamea,89
G. E. Moore,89
Parmenides,88
Boetius of Dacia,88
Abhinavagupta,87
Paul of Venice,87
Hippias,86
Epicurus,85
Theophrastus,85
Democritus,84
Alasdair MacIntyre,83
Gottlob Frege,83
Martin Buber,83
Pyrrho,81
Fakhr al-Din al-Razi,81
Pierre Gassendi,80
