Name,RawCentrality
Plato,909
Aristotle,766
Cicero,358
Averroes,321
Thomas Aquinas,299
Voltaire,294
Immanuel Kant,289
Confucius,289
Bertrand Russell,276
Anselm,273
Ibn Khaldun,273
Mozi,261
David Hume,259
Socrates,247
Al-Ghazali,245
Mencius,239
Karl Marx,230
Solomon,223
Al-Farabi,220
Avicenna,209
William James,199
Arius,196
Friedrich Nietzsche,195
Ludwig Wittgenstein,193
Blaise Pascal,190
Bonaventure,190
Plotinus,184
John Locke,183
Thucydides,182
Augustine of Hippo,181
Bede,179
Xenophon,176
Alvin Plantinga,175
Edmund Husserl,173
William of Ockham,171
Baruch Spinoza,171
Martin Heidegger,171
Tertullian,170
Han Fei,167
Nicholas Wolterstorff,167
Sun Tzu,166
Proclus,163
Roger Bacon,162
Karl Popper,160
Meister Eckhart,159
Chanakya,155
Peter van Inwagen,152
Daniel Dennett,149
Pseudo-Dionysius the Areopagite,146
Henry of Ghent,146
Alasdair MacIntyre,145
G. E. Moore,144
Al-Kindi,144
Gottlob Frege,143
Duns Scotus,137
Saul Kripke,136
Vladimir Solovyov,134
Marsilio Ficino,133
Nicolas Malebranche,133
Gorgias,133
Gabriel Marcel,132
Peter Lombard,131
Jean-Luc Marion,131
Henri Bergson,131
Porphyry,131
Isaac Newton,130
Sigmund Freud,128
Albertus Magnus,126
Edward N. Zalta,125
Noam Chomsky,124
Peter Singer,123
Giovanni Pico della Mirandola,122
Lucian,122
Adi Shankara,122
Thomas More,121
Ambrose,120
John Dewey,120
Michael Dummett,120
Alcuin,119
Hilary Putnam,119
Parmenides,118
William Lane Craig,118
Galen,118
Martin Luther,117
Peter Geach,117
Richard Swinburne,117
Valluvar,116
Lucretius,116
Pythagoras,113
Alonzo Church,113
Rudolf Carnap,113
Nicholas of Cusa,110
Roderick Chisholm,110
Antony Flew,110
Martin Buber,108
Chrysippus,108
Ramon Llull,107
Robert Grosseteste,107
Isidore of Seville,105
Gilbert Ryle,105
Alice Crary,104
Alexander Pruss,104
Xenocrates,103
John Stuart Mill,101
Wilfrid Sellars,100
Arcesilaus,99
Elias,99
Albert Einstein,99
Leo Strauss,99
Menedemus,98
Apuleius,98
Thomas Carlyle,98
Abhinavagupta,98
Carneades,98
Pyrrho,98
Paul Feyerabend,97
Iamblichus,97
Boetius of Dacia,97
Hippias,97
Bas van Fraassen,97
John Rawls,96
Clement of Alexandria,96
Arthur Schopenhauer,95
Paul Tillich,95
Philo of Larissa,94
Alfred North Whitehead,94
Ammonius Hermiae,94
Charles Sanders Peirce,93
Syrianus,93
Speusippus,93
Richard Rorty,93
Epicurus,92
Damascius,92
Numenius of Apamea,91
Ian Hacking,91
Alcinous,91
Ammonius Saccas,91
Mulla Sadra,91
Frithjof Schuon,91
Aristides,91
Jacques Maritain,91
Jacques Derrida,90
Pierre Gassendi,90
Otto Neurath,90
Dante Alighieri,90
Vasubandhu,90
Theophrastus,90
Karl Barth,90
John of Damascus,90
Robert Nozick,89
Paul of Venice,89
Hans Reichenbach,89
Carl Gustav Hempel,89
John McDowell,89
Josiah Royce,88
Ernst Cassirer,88
Charles Taylor,88
Democritus,87
Adam Smith,87
William Alston,86
Karl Rahner,86
Bernard of Clairvaux,85
Francis Bacon,85
Charles Darwin,84
Frederick Copleston,84
Giambattista Vico,84
Ralph Waldo Emerson,84
Jean-Paul Sartre,84
George Berkeley,84
Anthony Kenny,83
Tommaso Campanella,83
Fakhr al-Din al-Razi,83
Cyril of Alexandria,83
Gilles Deleuze,83
Reinhold Niebuhr,82
Donald Davidson,82
Jeremy Bentham,82
John Searle,82
Charles Hartshorne,81
Derek Parfit,80
Bernard Williams,80
Mircea Eliade,80
Gregory of Nyssa,80
Francis of Assisi,79
Hildegard of Bingen,79
P. F. Strawson,79
David Chalmers,79
Friedrich Schleiermacher,79
William Whewell,78
Thomas Nagel,78
Rudolf Bultmann,78
Athanasius of Alexandria,78
Ludwig Feuerbach,78
Ernst Haeckel,78
Auguste Comte,78
Martha Nussbaum,77
Max Weber,77
Ernest Sosa,77
Ibn Arabi,77
George Santayana,76
John Henry Newman,76
Crispin Wright,76
Robert Audi,76
Edith Stein,76
Jean Vanier,76
Susan Haack,76
Pope Gregory I,76
Galileo Galilei,75
Giordano Bruno,75
Timothy Williamson,75
Thales,75
Pierre Teilhard de Chardin,75
Ramanuja,75
Ibn Hazm,74
C. D. Broad,74
Francisco de Vitoria,74
Baron d'Holbach,74
Ernst Troeltsch,73
Luis de Molina,73
Nelson Goodman,73
Sextus Empiricus,73
Alfred Tarski,72
Thomas Merton,72
Michael Tye,71
Mao Zedong,71
Rudolf Otto,71
Patrick Suppes,71
Rabanus Maurus,71
Hasdai Crescas,70
Bernard Lonergan,70
Johannes Tauler,70
Dietrich von Hildebrand,70
Ibn Daud,70
Epictetus,70
Gersonides,70
Kapila,70
David Kaplan,69
Walter Hilton,69
Desiderius Erasmus,69
Joachim of Fiore,69
Peter Kreeft,69
Maurice Blondel,69
Nicholas Rescher,69
Michel Foucault,68
Thomas Hobbes,68
Edmund Gettier,68
Ptolemy,68
Protagoras,68
Thomas Cajetan,68
Walter Kaufmann,67
Lev Shestov,67
G. E. M. Anscombe,67
Novalis,67
Paul Churchland,67
Alice von Hildebrand,67
Dharmakirti,66
Vladimir Lenin,66
Sun Yat-sen,66
Zeno of Sidon,65
Moritz Schlick,65
Emil Brunner,65
Saadia Gaon,65
Alexander of Aphrodisias,65
Posidonius,65
Emanuel Swedenborg,64
Thomas Reid,64
Robert Merrihew Adams,64
Jaegwon Kim,64
Patricia Churchland,63
Simone de Beauvoir,63
Jaakko Hintikka,63
Willard Van Orman Quine,63
Anaxagoras,63
Miskawayh,63
Marcus Aurelius,63
Ibn Bajjah,63
Robert Brandom,62
Fred Dretske,62
Henry More,62
Longinus,62
Nagarjuna,62
Afrikan Spir,62
Ibn Masarra,61
William Wollaston,61
Ralph Cudworth,61
R. M. Hare,61
Clitomachus,60
