Name,RawCentrality
Plato,796
Aristotle,687
Cicero,332
Averroes,294
Voltaire,270
Confucius,267
Thomas Aquinas,263
Ibn Khaldun,255
Anselm,248
Immanuel Kant,238
Mozi,237
Bertrand Russell,232
David Hume,229
Al-Ghazali,226
Mencius,222
Socrates,215
Al-Farabi,209
Karl Marx,199
Solomon,197
Avicenna,191
Arius,187
Bonaventure,181
Blaise Pascal,177
Friedrich Nietzsche,171
Thucydides,171
Plotinus,170
Augustine of Hippo,169
William James,169
Xenophon,165
Bede,164
Tertullian,162
William of Ockham,158
Han Fei,156
Alvin Plantinga,156
Sun Tzu,155
Proclus,155
John Locke,153
Edmund Husserl,152
Meister Eckhart,151
Baruch Spinoza,150
Nicholas Wolterstorff,148
Roger Bacon,147
Ludwig Wittgenstein,145
Chanakya,145
Pseudo-Dionysius the Areopagite,140
Henry of Ghent,140
Martin Heidegger,136
Peter van Inwagen,136
Al-Kindi,133
Porphyry,131
Duns Scotus,127
Marsilio Ficino,126
G. E. Moore,124
Daniel Dennett,123
Karl Popper,123
Peter Lombard,123
Alasdair MacIntyre,123
Nicolas Malebranche,122
Vladimir Solovyov,122
Gorgias,121
Gottlob Frege,120
Edward N. Zalta,120
Henri Bergson,120
Isaac Newton,119
Jean-Luc Marion,119
Albertus Magnus,118
Gabriel Marcel,117
Adi Shankara,116
Giovanni Pico della Mirandola,116
Lucian,112
Saul Kripke,112
Alcuin,111
Pythagoras,111
Galen,109
Thomas More,108
Lucretius,108
Ambrose,106
Valluvar,105
Sigmund Freud,104
Nicholas of Cusa,104
Parmenides,104
Chrysippus,103
Xenocrates,103
Robert Grosseteste,101
Ramon Llull,101
Martin Buber,100
Martin Luther,100
Michael Dummett,99
Arcesilaus,99
Isidore of Seville,99
Carneades,98
Menedemus,98
Apuleius,98
Iamblichus,97
Alonzo Church,97
William Lane Craig,95
Richard Swinburne,95
Roderick Chisholm,95
Clement of Alexandria,95
Ammonius Hermiae,94
Leo Strauss,94
Peter Geach,94
Philo of Larissa,94
Noam Chomsky,93
Syrianus,93
John Dewey,93
Speusippus,93
Abhinavagupta,93
Hilary Putnam,92
Hippias,92
Damascius,92
Numenius of Apamea,91
Ammonius Saccas,91
Thomas Carlyle,91
Boetius of Dacia,91
Alcinous,91
Peter Singer,90
Antony Flew,90
Albert Einstein,89
Pyrrho,89
Paul of Venice,89
Epicurus,89
Alexander Pruss,88
John Stuart Mill,88
Theophrastus,87
Democritus,86
Paul Tillich,85
Vasubandhu,84
Arthur Schopenhauer,84
Elias,84
Frithjof Schuon,84
Pierre Gassendi,83
Mulla Sadra,83
Aristides,83
Rudolf Carnap,83
John of Damascus,82
Josiah Royce,82
Dante Alighieri,82
Gilbert Ryle,82
Fakhr al-Din al-Razi,81
Jacques Maritain,80
Wilfrid Sellars,79
Ralph Waldo Emerson,79
Paul Feyerabend,78
Ernst Cassirer,78
Bernard of Clairvaux,78
Charles Sanders Peirce,78
Karl Barth,77
Karl Rahner,77
Frederick Copleston,77
Adam Smith,77
Tommaso Campanella,77
Giambattista Vico,77
Cyril of Alexandria,77
Alice Crary,76
Bas van Fraassen,76
Alfred North Whitehead,76
Thales,75
Ibn Arabi,75
William Alston,75
Gregory of Nyssa,74
Francis Bacon,74
Giordano Bruno,74
Mircea Eliade,73
Friedrich Schleiermacher,73
Francis of Assisi,73
Ibn Hazm,73
Ramanuja,73
Hildegard of Bingen,72
William Whewell,72
Charles Darwin,72
Richard Rorty,72
Ernst Haeckel,72
Ludwig Feuerbach,72
Athanasius of Alexandria,72
George Berkeley,71
Sextus Empiricus,71
Anthony Kenny,71
Kapila,70
Charles Hartshorne,70
Ian Hacking,70
Pope Gregory I,70
Carl Gustav Hempel,70
Reinhold Niebuhr,70
Ibn Daud,70
Hasdai Crescas,70
Gersonides,70
Jeremy Bentham,69
Hans Reichenbach,69
Robert Nozick,69
Max Weber,69
Otto Neurath,69
Baron d'Holbach,68
Auguste Comte,68
John McDowell,68
John Henry Newman,68
Crispin Wright,68
Jean Vanier,68
Rudolf Bultmann,68
Francisco de Vitoria,68
Ptolemy,68
Thomas Merton,67
John Rawls,67
Mao Zedong,67
Epictetus,67
Edith Stein,67
George Santayana,67
Charles Taylor,66
Ernst Troeltsch,66
Alexander of Aphrodisias,65
Jean-Paul Sartre,65
Rabanus Maurus,65
Jacques Derrida,65
Protagoras,65
Pierre Teilhard de Chardin,65
Luis de Molina,65
Galileo Galilei,65
Posidonius,65
Saadia Gaon,65
Dietrich von Hildebrand,64
Rudolf Otto,64
Johannes Tauler,64
Peter Kreeft,64
Gilles Deleuze,64
Bernard Lonergan,64
Zeno of Sidon,64
Walter Hilton,63
Desiderius Erasmus,63
Maurice Blondel,63
P. F. Strawson,63
Emanuel Swedenborg,63
Marcus Aurelius,63
Joachim of Fiore,63
Ibn Bajjah,63
Anaxagoras,63
Miskawayh,62
Longinus,62
Thomas Cajetan,62
Donald Davidson,62
Susan Haack,62
Sun Yat-sen,62
Henry More,62
Nagarjuna,62
C. D. Broad,61
Walter Kaufmann,61
Robert Audi,61
Novalis,61
Lev Shestov,61
Alice von Hildebrand,61
Ibn Masarra,60
Clitomachus,60
Zeno of Citium,60
Dharmakirti,60
Timothy Williamson,60
John Searle,60
Jaimini,60
Heraclides Ponticus,60
Ralph Cudworth,60
Thomas Hobbes,60
Bernard Williams,59
Derek Parfit,59
Ernest Sosa,59
Emil Brunner,59
Apollonius of Tyana,58
Albinus,58
Empedocles,58
David Kaplan,58
Buddhaghosa,58
Zhu Xi,57
David Chalmers,57
Thomas Reid,57
Roman Ingarden,57
Strato of Lampsacus,57
Thomas Nagel,56
Cleanthes,56
Robert Merrihew Adams,56
Vedanta Desika,56
Nelson Goodman,56
Afrikan Spir,56
Deng Xi,56
Panaetius,56
William Wollaston,55
Anaximander,55
Archytas,55
Bernard Bolzano,55
Vladimir Lenin,55
Calcidius,55
David the Invincible,54
Michel Foucault,54
Edmund Gettier,54
Solomon Ibn Gabirol,54
Hippocrates,54
Aenesidemus,54
Crantor,53
Hippasus,53
Nicholas Rescher,53
Gaius Marius Victorinus,53
Theodoric of Freiberg,53
Michael Tye,53
Alfred Tarski,53
Chrysanthius,52
Metrodorus of Stratonicea,52
Kanada,52
Aedesius,52
Hegesias of Cyrene,51
Jaegwon Kim,51
Martha Nussbaum,51
Mahatma Gandhi,51
Alhazen,51
G. E. M. Anscombe,50
Paul Churchland,50
Shang Yang,50
Antisthenes,50
Jean Buridan,50
Walter Benjamin,50
Han Yu,50
Carl Jung,50
Fred Dretske,50
John Peckham,49
Li Si,49
Kang Youwei,48
Emmanuel Levinas,48
Philostratus,48
Thomas Jefferson,48
Patricia Churchland,48
Patrick Suppes,48
Thrasymachus,48
Simone de Beauvoir,48
Max Planck,48
Friedrich Engels,48
Rudolf Steiner,48
Mahavira,48
Feng Youlan,47
Hannah Arendt,47
Cheng Yi,47
Leucippus,47
Stilpo,47
Metrodorus of Lampsacus,46
Alexander of Hales,46
Cheng Hao,46
Mou Zongsan,46
Wang Fuzhi,46
Moritz Schlick,46
Giles of Rome,46
Dong Zhongshu,46
Wilhelm Windelband,46
Martin Luther King Jr.,45
R. M. Hare,45
Alan Turing,45
Nicole Oresme,45
Timon of Phlius,45
Diogenes of Oenoanda,45
Vincent Ferrer,44
Bernard of Chartres,44
Archimedes,44
Herbert Marcuse,44
Huang Zongxi,44
Gautama Buddha,44
Diodorus Cronus,44
Sengzhao,44
Friedrich Waismann,44
Robert Brandom,43
Callicles,43
Nancy Cartwright,43
Jaakko Hintikka,43
Dominicus Gundissalinus,43
Marsilius of Inghen,43
Barry Stroud,43
Franz Brentano,43
Prodicus,43
Maurice Merleau-Ponty,43
Albert of Saxony,43
Euclid of Megara,43
Norman Malcolm,42
Yajnavalkya,42
Hossein Nasr,42
Ikhwan al-Safa',42
Zhang Yi,42
Epimenides,42
Frank P. Ramsey,42
Philippa Foot,42
Shen Buhai,42
Giuseppe Peano,42
Godfrey of Fontaines,42
Asanga,42
Favorinus,42
Moses Mendelssohn,42
Zhiyi,41
Wang Bi,41
Anniceris,41
Graham Priest,41
Leo Tolstoy,41
Zisi,41
Hu Shih,41
Jerry Fodor,41
Willard Van Orman Quine,41
Guan Zhong,41
Russ Shafer-Landau,41
Muhammad Iqbal,41
Linji Yixuan,41
Pierre Duhem,41
Ernest Nagel,40
Imre Lakatos,40
Raghunatha Siromani,40
Hamid al-Din al-Kirmani,40
Shen Dao,40
Cleobulus,40
Michael Polanyi,40
Peter Galison,40
Alain de Lille,40
Jacques Lacan,40
Jayanta Bhatta,40
Lucius Annaeus Cornutus,39
Wang Yangming,39
J. J. C. Smart,39
Christine Korsgaard,39
Li Kui,39
Morton White,39
Khana,39
Ch'ien Mu,39
Liang Qichao,39
Ruth Millikan,39
Hans-Georg Gadamer,39
Keith Donnellan,39
Hui Shi,38
Vyasatirtha,38
Casimir Lewy,38
Cora Diamond,38
Li Ao,38
Theano,38
Michael Walzer,38
B. R. Ambedkar,38
Edmund Burke,38
Yang Xiong,38
Nathan Salmon,38
Cai Yuanpei,37
Jayatirtha,37
Zou Yan,37
Zichan,37
Zhang Dongsun,37
Herbert Spencer,36
Qiu Renzong,36
David Malet Armstrong,36
Kabir,36
Tsang Lap Chuen,36
Su Qin,36
Zhou Guoping,36
Gaozi,36
Larry Laudan,35
Jean Piaget,35
Gottfried Leibniz,35
Benjamin Franklin,35
Wilhelm Wundt,35
Antiphon,34
Alexander Bain,34
Pierre-Joseph Proudhon,34
Abraham ibn Ezra,34
Shinran,34
Peter Kropotkin,33
Naropa,33
Nichiren,33
Samuel Ibn Tibbon,33
Ashtavakra,33
John Adams,33
Henry David Thoreau,32
Bodhidharma,32
Wilhelm Dilthey,32
Tom Regan,32
Mikhail Bakunin,32
Agastya,32
Nagasena,31
Mary Midgley,30
Moses Hess,30
Uddalaka Aruni,30
Chaitanya Mahaprabhu,30
Alfred Russel Wallace,30
Ibn Tufail,30
Bahya ibn Paquda,30
Steven Best,29
Carol J. Adams,29
Guy Debord,29
Daniel Dombrowski,29
James Rachels,29
Albert Camus,29
Denis Diderot,29
Abu Ma'shar al-Balkhi,29
Simplicius of Cilicia,29
David Sztybel,29
Zeno of Elea,29
Isaiah Berlin,29
Thomas Lepeltier,29
Tyler Burge,28
Johann Wolfgang von Goethe,28
Johann Gottlieb Fichte,28
Umberto Eco,28
Sue Donaldson,28
Thomas Paine,28
Cass Sunstein,28
Lamennais,28
Ernst Mach,28
Oscar Horta,28
Anil Gupta,28
Tom Beauchamp,28
Alvin Goldman,28
Gary L. Francione,28
Ned Block,27
Abdolkarim Soroush,27
Abu Hatim al-Razi,27
Ibn Miskawayh,27
James Mill,27
John Maynard Keynes,27
Henry George,27
Herbert A. Simon,27
Leon Trotsky,27
James Pryor,27
Amartya Sen,27
Keith DeRose,27
Mario Bunge,27
Mark Rowlands,26
Will Kymlicka,26
Karl Jaspers,26
Gary Varner,26
Salomon Maimon,26
John Hadley,26
Andy Clark,26
Geminus,26
Joseph Solomon Delmedigo,26
Al-Ash'ari,26
Marvin Minsky,26
Joseph Soloveitchik,26
Cleomedes,26
Paracelsus,26
Laurence BonJour,26
Clare Palmer,26
John von Neumann,25
Jessica Pierce,25
David DeGrazia,25
Cornel West,25
Isaac Orobio de Castro,25
Themistius,25
Gangesha Upadhyaya,25
Karl Christian Friedrich Krause,25
Ibn Furak,25
Jeff Sebo,25
Mostafa Malekian,25
Antonio Gramsci,25
Bernard Rollin,25
Isaac Cardoso,25
Steve F. Sapontzis,25
Samuel Johnson,25
Taha Abdurrahman,25
Isocrates,25
Ibn Kammuna,25
Francisco Sanches,25
Leonard Nelson,25
Reza Davari Ardakani,25
John Calvin,25
Catia Faria,24
Carl Schmitt,24
Jalal al-Din al-Dawani,24
Robert Boyle,24
Al-Baqillani,24
Kristin Andrews,24
