Name,RawCentrality
Plato,927
Aristotle,782
Cicero,365
Averroes,328
Voltaire,305
Thomas Aquinas,304
Immanuel Kant,302
Confucius,296
Bertrand Russell,286
Ibn Khaldun,280
Anselm,274
David Hume,269
Mozi,268
Socrates,251
Al-Ghazali,250
Mencius,245
Karl Marx,235
Solomon,225
Al-Farabi,222
Avicenna,213
William James,202
Friedrich Nietzsche,200
Arius,200
Ludwig Wittgenstein,199
Blaise Pascal,191
Bonaventure,190
John Locke,188
Plotinus,187
Thucydides,184
Augustine of Hippo,182
Edmund Husserl,180
Bede,180
Martin Heidegger,180
Alvin Plantinga,180
Xenophon,178
Baruch Spinoza,175
Nicholas Wolterstorff,172
William of Ockham,172
Tertullian,170
Han Fei,169
Sun Tzu,168
Proclus,165
Karl Popper,164
Roger Bacon,162
Meister Eckhart,162
Chanakya,157
Peter van Inwagen,157
Daniel Dennett,155
Alasdair MacIntyre,150
Gottlob Frege,150
G. E. Moore,148
Al-Kindi,147
Henry of Ghent,146
Pseudo-Dionysius the Areopagite,146
Saul Kripke,142
Duns Scotus,138
Gorgias,136
Henri Bergson,135
Vladimir Solovyov,135
Nicolas Malebranche,134
Marsilio Ficino,133
Gabriel Marcel,133
Peter Lombard,132
Jean-Luc Marion,132
Peter Singer,132
Porphyry,131
Noam Chomsky,131
Sigmund Freud,130
Isaac Newton,130
Edward N. Zalta,127
Albertus Magnus,126
Michael Dummett,126
Hilary Putnam,125
John Dewey,125
Adi Shankara,124
William Lane Craig,124
Lucian,123
Peter Geach,123
Thomas More,122
Richard Swinburne,122
Giovanni Pico della Mirandola,122
Parmenides,122
Ambrose,121
Galen,120
Alonzo Church,119
Lucretius,119
Alcuin,119
Martin Luther,119
Rudolf Carnap,118
Valluvar,117
Pythagoras,115
Antony Flew,115
Roderick Chisholm,114
Chrysippus,111
Alice Crary,111
Martin Buber,110
Nicholas of Cusa,110
Gilbert Ryle,109
Alexander Pruss,109
Ramon Llull,107
Robert Grosseteste,107
Wilfrid Sellars,106
John Stuart Mill,105
Isidore of Seville,105
John Rawls,105
Xenocrates,104
Bas van Fraassen,101
Paul Feyerabend,101
Elias,101
Thomas Carlyle,100
Leo Strauss,100
Arcesilaus,99
Arthur Schopenhauer,99
Pyrrho,99
Albert Einstein,99
Richard Rorty,99
Abhinavagupta,99
Carneades,99
Apuleius,98
Menedemus,98
Hippias,98
Iamblichus,97
Boetius of Dacia,97
Clement of Alexandria,96
Paul Tillich,96
Alfred North Whitehead,95
Robert Nozick,95
Ian Hacking,95
Jacques Derrida,95
John McDowell,94
Charles Sanders Peirce,94
Epicurus,94
Charles Taylor,94
Philo of Larissa,94
Hans Reichenbach,94
Ammonius Hermiae,94
Otto Neurath,94
Mulla Sadra,93
Carl Gustav Hempel,93
Speusippus,93
Syrianus,93
Alcinous,92
Frithjof Schuon,92
Adam Smith,92
Vasubandhu,92
Damascius,92
Jacques Maritain,92
Numenius of Apamea,91
Theophrastus,91
Karl Barth,91
Ammonius Saccas,91
Aristides,91
John of Damascus,90
Pierre Gassendi,90
Ernst Cassirer,90
Dante Alighieri,90
Josiah Royce,89
Donald Davidson,89
Paul of Venice,89
William Alston,89
Derek Parfit,88
Charles Darwin,88
George Berkeley,87
Jean-Paul Sartre,87
Democritus,87
Karl Rahner,86
Gilles Deleuze,86
Jeremy Bentham,86
John Searle,86
Francis Bacon,85
Anthony Kenny,85
Bernard of Clairvaux,85
Thomas Nagel,85
