Name,RawCentrality
Plato,402
Aristotle,385
Cicero,229
Anselm,169
Averroes,163
Thomas Aquinas,160
Bonaventure,156
Ibn Khaldun,149
Al-Farabi,146
Arius,144
Al-Ghazali,144
Socrates,140
Voltaire,140
Confucius,135
Solomon,131
Tertullian,129
Avicenna,126
Proclus,125
Porphyry,123
Mozi,122
Meister Eckhart,122
Henry of Ghent,120
Mencius,119
Pseudo-Dionysius the Areopagite,118
Plotinus,116
Blaise Pascal,113
Augustine of Hippo,112
Xenophon,109
Roger Bacon,107
Thucydides,104
Marsilio Ficino,104
Peter Lombard,104
William of Ockham,104
Al-Kindi,103
Albertus Magnus,100
Duns Scotus,99
Xenocrates,98
Pythagoras,97
Giovanni Pico della Mirandola,95
Han Fei,95
David Hume,94
Arcesilaus,94
Carneades,93
Menedemus,93
Sun Tzu,92
Alcuin,92
Apuleius,92
Bede,90
Philo of Larissa,89
Iamblichus,89
Clement of Alexandria,89
Chanakya,88
Ammonius Hermiae,88
Gorgias,88
Speusippus,88
Syrianus,87
Galen,87
Robert Grosseteste,86
Alcinous,86
Damascius,86
Numenius of Apamea,85
Ramon Llull,85
Ammonius Saccas,85
Isidore of Seville,84
Nicholas of Cusa,84
Edward N. Zalta,83
Paul of Venice,82
Lucretius,82
Epicurus,81
Democritus,81
Chrysippus,80
Theophrastus,79
Fakhr al-Din al-Razi,77
Pyrrho,77
Boetius of Dacia,76
Isaac Newton,75
Ambrose,75
Adi Shankara,74
Lucian,73
John Locke,72
Parmenides,70
Nicholas Wolterstorff,70
Ibn Hazm,70
Alvin Plantinga,70
Hasdai Crescas,69
Valluvar,69
Gersonides,69
Ibn Daud,69
Nicolas Malebranche,68
Hippias,67
Sextus Empiricus,67
Pierre Gassendi,67
Thales,67
Baruch Spinoza,66
Thomas More,66
Ptolemy,66
Peter van Inwagen,65
Abhinavagupta,65
Posidonius,65
Ibn Arabi,65
Kapila,65
John of Damascus,65
Zeno of Sidon,64
Aristides,64
Saadia Gaon,64
Alexander of Aphrodisias,64
Ramanuja,64
Immanuel Kant,64
Epictetus,64
Bernard of Clairvaux,63
Giordano Bruno,63
Jean-Luc Marion,62
Ibn Bajjah,62
Ralph Waldo Emerson,62
Leo Strauss,62
Cyril of Alexandria,62
Vladimir Solovyov,61
Gabriel Marcel,61
Anaxagoras,61
Zeno of Citium,60
Vasubandhu,60
Miskawayh,59
Marcus Aurelius,59
G. E. Moore,59
Protagoras,58
Dante Alighieri,58
Gregory of Nyssa,57
Edmund Husserl,57
Hildegard of Bingen,57
Ibn Masarra,57
Athanasius of Alexandria,57
Jaimini,57
Saul Kripke,57
Francis of Assisi,56
Panaetius,56
Henry More,56
Nagarjuna,56
Frederick Copleston,56
Empedocles,56
Cleanthes,56
Apollonius of Tyana,56
Buddhaghosa,55
Pope Gregory I,55
Clitomachus,55
Heraclides Ponticus,55
Ralph Cudworth,55
Archytas,55
Vedanta Desika,54
Henri Bergson,54
Strato of Lampsacus,54
Longinus,54
Albinus,53
Francisco de Vitoria,53
Emanuel Swedenborg,53
Hippocrates,53
Gottlob Frege,53
Solomon Ibn Gabirol,53
Jacques Maritain,52
Hippasus,52
Anaximander,52
John Henry Newman,51
Karl Rahner,51
Calcidius,50
Antisthenes,50
Giambattista Vico,50
Jean Buridan,50
Tommaso Campanella,50
Aenesidemus,50
Rabanus Maurus,50
Pierre Teilhard de Chardin,49
Bertrand Russell,49
Kanada,49
Roman Ingarden,49
Josiah Royce,49
Thomas Merton,49
Luis de Molina,49
Johannes Tauler,49
Alhazen,49
David the Invincible,49
Peter Kreeft,48
Michael Dummett,48
Walter Hilton,48
Philostratus,48
John Peckham,48
Bernard Bolzano,48
Theodoric of Freiberg,48
Crispin Wright,48
David Kaplan,48
Roderick Chisholm,48
Crantor,48
Alasdair MacIntyre,48
Gaius Marius Victorinus,48
Alonzo Church,48
Karl Marx,48
Jean Vanier,47
Metrodorus of Stratonicea,47
Dietrich von Hildebrand,47
Maurice Blondel,47
Stilpo,47
Bernard Lonergan,47
Leucippus,47
Alice von Hildebrand,47
Edith Stein,47
Joachim of Fiore,47
Zhu Xi,47
Chrysanthius,47
Aedesius,47
Thomas Cajetan,47
Elias,47
Metrodorus of Lampsacus,46
Mahavira,46
Thrasymachus,45
Giles of Rome,45
Alexander of Hales,45
Diogenes of Oenoanda,45
Bernard of Chartres,44
Adam Smith,44
Timon of Phlius,44
Nicole Oresme,44
Euclid of Megara,43
Martin Buber,43
Prodicus,43
Diodorus Cronus,43
Han Yu,43
Shang Yang,43
Marsilius of Inghen,43
Dominicus Gundissalinus,43
Epimenides,42
Albert of Saxony,42
Ikhwan al-Safa',42
Godfrey of Fontaines,42
Frithjof Schuon,42
Vincent Ferrer,42
Friedrich Nietzsche,42
Favorinus,42
Hegesias of Cyrene,41
Callicles,41
Mulla Sadra,41
Anniceris,41
Thomas Hobbes,40
Archimedes,40
Alain de Lille,40
Cheng Yi,40
Cleobulus,40
Feng Youlan,40
Sun Yat-sen,40
Raghunatha Siromani,39
Martin Luther,39
Dharmakirti,39
Jayanta Bhatta,39
Cheng Hao,39
Yajnavalkya,39
Li Si,39
Gautama Buddha,39
Dong Zhongshu,39
Lucius Annaeus Cornutus,39
Theano,38
Mou Zongsan,38
Sengzhao,38
Mao Zedong,38
Khana,38
Kang Youwei,38
Wang Fuzhi,38
Muhammad Iqbal,37
Hamid al-Din al-Kirmani,37
Galileo Galilei,37
Vyasatirtha,37
Huang Zongxi,37
Asanga,36
Shen Buhai,36
Jayatirtha,36
Zhiyi,36
John Stuart Mill,35
Guan Zhong,35
Linji Yixuan,35
Wang Bi,34
Zisi,34
Zhang Yi,34
Moses Mendelssohn,34
Kabir,34
Shen Dao,34
Francis Bacon,34
Deng Xi,34
Abraham ibn Ezra,33
Li Kui,33
Thomas Carlyle,33
Ch'ien Mu,33
Wang Yangming,32
Yang Xiong,32
Hu Shih,32
Hui Shi,32
Liang Qichao,31
Li Ao,31
Zhang Dongsun,31
Zou Yan,31
Thomas Jefferson,31
Zichan,31
Samuel Ibn Tibbon,31
Agastya,30
Nichiren,30
Bodhidharma,30
Zhou Guoping,30
Qiu Renzong,30
Shinran,30
Tsang Lap Chuen,30
Ashtavakra,30
Naropa,30
Su Qin,30
Gaozi,30
Hossein Nasr,30
Cai Yuanpei,30
Baron d'Holbach,30
B. R. Ambedkar,30
Abu Ma'shar al-Balkhi,29
William Whewell,29
Uddalaka Aruni,29
Chaitanya Mahaprabhu,29
Zeno of Elea,29
Jeremy Bentham,29
Bahya ibn Paquda,29
Nagasena,29
Daniel Dennett,28
William James,28
Novalis,28
Friedrich Schleiermacher,28
Ernst Haeckel,28
Simplicius of Cilicia,27
Ibn Tufail,27
Ernst Cassirer,27
Cleomedes,26
Desiderius Erasmus,26
Anthony Kenny,26
Geminus,25
Salomon Maimon,25
Joseph Solomon Delmedigo,25
Emmanuel Levinas,25
William Alston,25
Antiphon,25
Abu Hatim al-Razi,24
Al-Ash'ari,24
Thomas Reid,24
Paul Tillich,24
Joseph Soloveitchik,24
Ibn Miskawayh,24
Gangesha Upadhyaya,24
Ibn Kammuna,24
Themistius,24
Isaac Orobio de Castro,24
Francisco Sanches,24
Robert Boyle,24
Moses Hess,24
Gottfried Leibniz,24
Isaac Cardoso,24
Ludwig Feuerbach,24
Markandeya,23
Walter Kaufmann,23
Alcibiades,23
Rudolf Otto,23
Shvetashvatara,23
Al-Baqillani,23
Jalal al-Din al-Dawani,23
Ibn Furak,23
Ibn Tzaddik,23
Syed Muhammad Naquib al-Attas,22
Mostafa Malekian,22
Abdolkarim Soroush,22
Karl Popper,22
Reinhold Niebuhr,22
Ernst Troeltsch,22
Taha Abdurrahman,22
Reza Davari Ardakani,22
Benjamin Franklin,22
Edmund Burke,22
Rudolf Bultmann,22
Karl Barth,22
George Santayana,21
William Lane Craig,21
Charles Hartshorne,21
Mircea Eliade,21
John Adams,21
Aristoxenus,21
Peter Geach,21
Samuel Johnson,21
Nasir al-Din Tusi,21
John Calvin,21
Paracelsus,21
Charles Darwin,20
