Name,RawCentrality
Plato,715
Aristotle,628
Cicero,321
Averroes,279
Voltaire,254
Confucius,252
Ibn Khaldun,244
Thomas Aquinas,242
Anselm,236
Mozi,228
Al-Ghazali,222
Mencius,213
Al-Farabi,204
Immanuel Kant,203
David Hume,200
Socrates,197
Bertrand Russell,195
Avicenna,185
Arius,183
Solomon,180
Bonaventure,177
Karl Marx,168
Thucydides,167
Blaise Pascal,165
Plotinus,163
Xenophon,161
Augustine of Hippo,159
Tertullian,159
Han Fei,153
Proclus,152
Friedrich Nietzsche,152
Sun Tzu,152
William of Ockham,150
Bede,149
Meister Eckhart,145
William James,145
Chanakya,142
Roger Bacon,138
John Locke,137
Alvin Plantinga,136
Henry of Ghent,136
Pseudo-Dionysius the Areopagite,135
Edmund Husserl,133
Baruch Spinoza,133
Al-Kindi,130
Porphyry,128
Nicholas Wolterstorff,128
Marsilio Ficino,122
Duns Scotus,122
Peter van Inwagen,120
Peter Lombard,119
Henri Bergson,117
Edward N. Zalta,117
Albertus Magnus,114
Nicolas Malebranche,114
Giovanni Pico della Mirandola,112
Gorgias,112
Vladimir Solovyov,112
Adi Shankara,111
Isaac Newton,111
Jean-Luc Marion,110
Pythagoras,109
Alcuin,108
Martin Heidegger,108
Lucretius,107
Gabriel Marcel,107
G. E. Moore,106
Gottlob Frege,104
Lucian,103
Galen,103
Xenocrates,102
Ludwig Wittgenstein,101
Nicholas of Cusa,100
Thomas More,100
Alasdair MacIntyre,100
Parmenides,100
Valluvar,99
Ambrose,99
Karl Popper,98
Robert Grosseteste,98
Arcesilaus,98
Carneades,97
Menedemus,97
Chrysippus,97
Ramon Llull,97
Daniel Dennett,97
Apuleius,97
Isidore of Seville,96
Iamblichus,95
Clement of Alexandria,94
Philo of Larissa,93
Speusippus,92
Saul Kripke,92
Ammonius Hermiae,92
Martin Buber,91
Syrianus,91
Abhinavagupta,91
Hippias,90
Numenius of Apamea,90
Damascius,90
Martin Luther,90
Alcinous,90
Ammonius Saccas,90
Boetius of Dacia,88
Epicurus,88
