movie_cd,title,director,actors,actor_count,release_date,genre,genre_count,production_year,show_time
20181301,사범,조동희,"['강신철', '강유진', '유선', '박지완', '이창주', '이임성', '황기', '김상명', '민승기', '남민우', '박정민', '김나현', '김동하', '김미현', '김선우', '김성태', '이상용', '강형준', '강효정', '최영훈', '권혁철', '전민우', '조민영', '조상우', '이지한', '김희선', '김종욱', '조은선', '윤지은', '조정원', '공진솔', '이나리', '이동욱', '이동호', '김영훈', '김민진', '김은서', '조영하', '조우리', '김택주', '조재민', '조주', '정예찬', '한풍교', '지인혁', '정기민', '정명규', '유하람', '진재성', '차동근', '윤구헌', '정유찬', '신승혁', '신오순', '이재성', '박새영', '이종천', '이준명', '이덕희', '이동길', '이초', '김진아', '이한규', '김진수', '최영하', '김윤지', '최영희', '김지현', '이재형', '이희수', '김은선', '김지연', '백건우', '장필원', '엄지은', '엄태훈', '최효서', '손영훈', '임진화', '장성희', '송하임', '백화윤', '홍종수', '황규남', '홍범화', '홍석균', '이동찬']",87,20190627,['다큐멘터리'],1,2018,85
20198865,형수의 엉덩이,제임스 오,[],0,20191021,['성인물(에로)'],1,2019,90
20199025,우리 누나 친구,김부곤,['안소희'],1,20191021,['멜로/로맨스'],1,2019,60
20198862,비가오면 하고싶다,제임스 오,[],0,20191021,['성인물(에로)'],1,2019,89
20192760,정사 : 엄마친구,김환,[],0,20191010,['멜로/로맨스'],1,2019,61
20198428,젊은친구엄마,최성길,[],0,20191018,['멜로/로맨스'],1,2019,64
20198861,복상사 미망인을 탐하는 남자들,제임스 오,[],0,20191018,['성인물(에로)'],1,2018,57
20198842,내 아내를 과장이 후렸다,제임스 오,[],0,20191018,['성인물(에로)'],1,2018,74
20198436,아내의 교환섹스 무삭제판,천성준,[],0,20191017,['멜로/로맨스'],1,2019,87
20197921,식모-아내의 친구,노현진,['민도윤'],1,20191017,"['멜로/로맨스', '드라마']",2,2019,80
20197586,젊은 과부,이진,[],0,20191016,['멜로/로맨스'],1,2019,60
20183727,한낮의 피크닉,임오정,"['권해효', '김금순', '곽민규', '윤혜리', '류경수', '김욱', '서벽준', '이우정', '공민정', '강동완', '곽민규', '권해효', '어성욱', '김계선', '김민규', '김보라', '김형대', '박니노', '김선경', '장준휘', '박지원', '윤주혜', '공민정', '이규현', '문규민', '김욱', '유혜정', '이은정', '서민주']",29,20190704,['드라마'],1,2018,78
20193168,젊은 새엄마들 무삭제,김진수,[],0,20191015,['멜로/로맨스'],1,2019,80
20196604,남편친구들 무삭제판,최정자,['이채담'],1,20191015,"['드라마', '멜로/로맨스']",2,2018,95
20197912,아내의여동생,최성길,[],0,20191011,['멜로/로맨스'],1,2019,61
20182241,"안녕, 티라노: 영원히, 함께",시즈노 코분,"['시영준', '정혜원', '이세은', '이현', '김지혜', '박영진', '김준현', '시영준', '사성웅', '이동훈', '정형석', '곽윤상', '김인형', '박주광', '전종구', '오인실']",16,20190814,['애니메이션'],1,2019,97
20192801,정사 : 엄마친구 무삭제,김환,[],0,20191010,['멜로/로맨스'],1,2019,71
20192630,옆집 친구 엄마 무삭제,김진수,[],0,20191010,['멜로/로맨스'],1,2019,83
20196854,관전녀,계장혁,[],0,20191010,['멜로/로맨스'],1,2019,76
20196605,형부를 탐하다 무삭제판,최정자,[],0,20191008,"['드라마', '멜로/로맨스']",2,2018,91
20197263,옷 잘 벗는 예쁜 누나,김부곤,['안소희'],1,20191007,['멜로/로맨스'],1,2019,70
20197581,착한 엄마 친구들,강정훈,[],0,20191004,['멜로/로맨스'],1,2019,67
20197569,동생의 여자들 - 감독판,이진,[],0,20191004,['멜로/로맨스'],1,2019,86
20197856,가슴큰엄마들-무삭제,차지민,[],0,20191004,['멜로/로맨스'],1,2019,92
20173993,이월,김중현,"['조민경', '이주원', '김성령', '박시완', '박영빈', '임새라', '손성찬', '김소랑', '장종엽', '안치언', '박제우', '권승혁', '윤태희', '라현희', '손은경', '유채린', '서호철', '윤성훈', '신혜진', '김현우', '김현정', '이주용', '정지형', '황수빈', '이랑서', '한다해', '정순욱', '이한솔', '김형훈', '노예진', '윤병석', '김유정', '이재원', '박소원', '임성호', '최중현', '손성찬', '최혜리', '박기범', '홍지원', '황민호', '황상원', '엄홍식', '김태완', '전해성', '주석인']",46,20190130,['드라마'],1,2017,111
20197692,새엄마들 2019 - 무삭제,왕지방,[],0,20191002,['멜로/로맨스'],1,2019,106
20197052,원정녀 1호의 사연,최성은,[],0,20190924,['드라마'],1,2019,90
20194711,어린 식모,노현진,['민도윤'],1,20190919,"['멜로/로맨스', '드라마']",2,2019,80
20196568,등산의 참맛 무삭제판,한동호,[],0,20191001,"['드라마', '멜로/로맨스']",2,2018,95
20195242,클럽녀 섹스 다이어트,박은석,[],0,20190913,['드라마'],1,2018,55
20195808,아내의 친구,이가온,[],0,20190912,['멜로/로맨스'],1,2019,70
20193850,관계 : 특별한 형수,김환,[],0,20190911,['멜로/로맨스'],1,2019,60
20192191,막내 형수 - 무삭제판,최우성,[],0,20190910,['멜로/로맨스'],1,2019,90
20195008,보도드라이버: 떡마차 무삭제판,이두희,[],0,20190906,['성인물(에로)'],1,2019,121
20193943,음란야도,이가온,[],0,20190905,['멜로/로맨스'],1,2019,70
20191364,어린 아가씨,이가온,[],0,20190905,['멜로/로맨스'],1,2019,71
20194365,여친의 맛 무삭제,윤중부,[],0,20190904,['드라마'],1,2019,75
20194362,맛있는 여상사 무삭제,윤중부,[],0,20190904,['드라마'],1,2019,79
20196072,내방에 일본여자가 있다 무삭제판,노세기,[],0,20190830,['성인물(에로)'],1,2018,125
20190262,내 사촌 누나 무삭제,윤중부,[],0,20190814,['드라마'],1,2019,84
20196567,맛있는엄마들,이철,[],0,20190927,['멜로/로맨스'],1,2019,61
20195812,내 여자의 남자들,최정자,['백세리'],1,20190927,"['드라마', '멜로/로맨스']",2,2019,70
20189485,친구엄마 : 참을 수 없는 날 2 무삭제,정완경,[],0,20190926,['멜로/로맨스'],1,2018,76
20180689,친구누나 일본판 2 무삭제,정완경,[],0,20190926,['멜로/로맨스'],1,2018,70
20196301,처제의 일기,정진호,[],0,20190926,['멜로/로맨스'],1,2019,70
20197272,오피스텔-잘 하는 애들로 무삭제판,천성준,[],0,20190926,['멜로/로맨스'],1,2019,92
20197382,천박한누나 무삭제판,한동호,[],0,20190924,"['드라마', '멜로/로맨스']",2,2018,90
20193518,젊은 엄마 친구 2,정현수,[],0,20190923,['멜로/로맨스'],1,2019,75
