Source,Target,Type,Id,Label,Weight
권하_Dir_1,송길호_Act_1,Undirected,5547,,2
권하_Dir_1,신현규_Act_1,Undirected,5548,,2
권하_Dir_1,전은정_Act_1,Undirected,5549,,1
권하_Dir_1,정회근_Act_1,Undirected,5550,,1
권하_Dir_1,현리원_Act_1,Undirected,5551,,1
김문옥_Dir_1,김국현_Act_1,Undirected,5552,,1
김문옥_Dir_1,김류경_Act_1,Undirected,5553,,3
김문옥_Dir_1,김미승_Act_1,Undirected,5554,,1
김문옥_Dir_1,김지니_Act_1,Undirected,5555,,1
김문옥_Dir_1,나윤서_Act_1,Undirected,5556,,1
김문옥_Dir_1,박노철_Act_1,Undirected,5557,,2
김문옥_Dir_1,박보근_Act_1,Undirected,5558,,1
김문옥_Dir_1,박태현_Act_1,Undirected,5559,,4
김문옥_Dir_1,박효근_Act_1,Undirected,5560,,4
김문옥_Dir_1,박흥열_Act_1,Undirected,5561,,2
김문옥_Dir_1,신원중_Act_1,Undirected,5562,,1
김문옥_Dir_1,유지은_Act_1,Undirected,5563,,1
김문옥_Dir_1,임미소_Act_1,Undirected,5564,,1
김문옥_Dir_1,임연비_Act_1,Undirected,5565,,1
김문옥_Dir_1,장영희_Act_1,Undirected,5566,,3
김문옥_Dir_1,정양직_Act_1,Undirected,5567,,1
김문옥_Dir_1,정인철_Act_1,Undirected,5568,,3
김문옥_Dir_1,천택근_Act_1,Undirected,5569,,3
김문옥_Dir_1,최다형_Act_1,Undirected,5570,,3
김문옥_Dir_1,최영일_Act_1,Undirected,5571,,1
김문옥_Dir_1,한미래_Act_1,Undirected,5572,,3
김문옥_Dir_1,호령_Act_1,Undirected,5573,,1
김성수_Dir_1,공재민_Act_1,Undirected,5574,,1
김성수_Dir_1,곽자형_Act_1,Undirected,5575,,1
김성수_Dir_1,곽진석_Act_1,Undirected,5576,,1
김성수_Dir_1,구민혁_Act_1,Undirected,5577,,1
김성수_Dir_1,권혁_Act_1,Undirected,5578,,1
김성수_Dir_1,김기무_Act_1,Undirected,5579,,1
김성수_Dir_1,김기영_Act_1,Undirected,5580,,1
김성수_Dir_1,김대훈_Act_1,Undirected,5581,,1
김성수_Dir_1,김동휘_Act_1,Undirected,5582,,1
김성수_Dir_1,김려은_Act_1,Undirected,5583,,1
김성수_Dir_1,김병구_Act_1,Undirected,5584,,1
김성수_Dir_1,김성균_Act_1,Undirected,5585,,1
김성수_Dir_1,김성오_Act_1,Undirected,5586,,1
김성수_Dir_1,김성진_Act_1,Undirected,5587,,1
김성수_Dir_1,김영민_Act_1,Undirected,5588,,1
김성수_Dir_1,김옥주_Act_1,Undirected,5589,,1
김성수_Dir_1,김의성_Act_1,Undirected,5590,,1
김성수_Dir_1,김정진_Act_1,Undirected,5591,,1
김성수_Dir_1,김종호_Act_1,Undirected,5592,,1
김성수_Dir_1,김지원_Act_1,Undirected,5593,,1
김성수_Dir_1,김혜정_Act_1,Undirected,5594,,1
김성수_Dir_1,나호숙_Act_1,Undirected,5595,,1
김성수_Dir_1,남윤호_Act_1,Undirected,5596,,1
김성수_Dir_1,문성복_Act_1,Undirected,5597,,1
김성수_Dir_1,박민이_Act_1,Undirected,5598,,1
김성수_Dir_1,박원상_Act_1,Undirected,5599,,1
김성수_Dir_1,박정표_Act_1,Undirected,5600,,1
김성수_Dir_1,박정학_Act_1,Undirected,5601,,1
김성수_Dir_1,박태현_Act_1,Undirected,5602,,1
김성수_Dir_1,박해준_Act_1,Undirected,5603,,1
김성수_Dir_1,박훈_Act_1,Undirected,5604,,1
김성수_Dir_1,배혜성_Act_1,Undirected,5605,,1
김성수_Dir_1,서광재_Act_1,Undirected,5606,,1
김성수_Dir_1,서진원_Act_1,Undirected,5607,,1
김성수_Dir_1,손병욱_Act_1,Undirected,5608,,1
김성수_Dir_1,송건희_Act_1,Undirected,5609,,1
김성수_Dir_1,송영근_Act_1,Undirected,5610,,1
김성수_Dir_1,심가영_Act_1,Undirected,5611,,1
김성수_Dir_1,안내상_Act_1,Undirected,5612,,1
김성수_Dir_1,안세호_Act_1,Undirected,5613,,1
김성수_Dir_1,안효준_Act_1,Undirected,5614,,1
김성수_Dir_1,양상운_Act_1,Undirected,5615,,1
김성수_Dir_1,양시현_Act_1,Undirected,5616,,1
김성수_Dir_1,양영문_Act_1,Undirected,5617,,1
김성수_Dir_1,염동헌_Act_1,Undirected,5618,,1
김성수_Dir_1,우미화_Act_1,Undirected,5619,,1
김성수_Dir_1,우아름_Act_1,Undirected,5620,,1
김성수_Dir_1,유성주_Act_1,Undirected,5621,,1
김성수_Dir_1,윤유선_Act_1,Undirected,5622,,1
김성수_Dir_1,윤준호_Act_1,Undirected,5623,,1
김성수_Dir_1,윤호림_Act_1,Undirected,5624,,1
김성수_Dir_1,이귀우_Act_1,Undirected,5625,,1
김성수_Dir_1,이미라_Act_1,Undirected,5626,,1
김성수_Dir_1,이성민_Act_1,Undirected,5627,,1
김성수_Dir_1,이슬기_Act_1,Undirected,5628,,1
김성수_Dir_1,이승희_Act_1,Undirected,5629,,1
김성수_Dir_1,이재윤_Act_1,Undirected,5630,,1
김성수_Dir_1,이준혁_Act_1,Undirected,5631,,1
김성수_Dir_1,이하민_Act_1,Undirected,5632,,1
김성수_Dir_1,이형동_Act_1,Undirected,5633,,1
김성수_Dir_1,임철형_Act_1,Undirected,5634,,1
김성수_Dir_1,장현동_Act_1,Undirected,5635,,1
김성수_Dir_1,전상원_Act_1,Undirected,5636,,1
김성수_Dir_1,전수지_Act_1,Undirected,5637,,1
김성수_Dir_1,전운종_Act_1,Undirected,5638,,1
김성수_Dir_1,전진기_Act_1,Undirected,5639,,1
김성수_Dir_1,정동환_Act_1,Undirected,5640,,1
김성수_Dir_1,정만식_Act_1,Undirected,5641,,1
김성수_Dir_1,정우성_Act_1,Undirected,5642,,1
김성수_Dir_1,정해균_Act_1,Undirected,5643,,1
