Source,Target,Type,Weight
김문옥_Dir_1,유지은_Act_1,Undirected,1
김문옥_Dir_1,임미소_Act_1,Undirected,1
김문옥_Dir_1,임연비_Act_1,Undirected,1
김문옥_Dir_1,장영희_Act_1,Undirected,3
김문옥_Dir_1,정양직_Act_1,Undirected,1
김문옥_Dir_1,정인철_Act_1,Undirected,3
김문옥_Dir_1,천택근_Act_1,Undirected,3
김문옥_Dir_1,최다형_Act_1,Undirected,3
김문옥_Dir_1,최영일_Act_1,Undirected,1
김문옥_Dir_1,한미래_Act_1,Undirected,3
김문옥_Dir_1,호령_Act_1,Undirected,1
김성수_Dir_1,공재민_Act_1,Undirected,1
김성수_Dir_1,곽자형_Act_1,Undirected,1
김성수_Dir_1,곽진석_Act_1,Undirected,1
김성수_Dir_1,구민혁_Act_1,Undirected,1
김성수_Dir_1,권혁_Act_1,Undirected,1
김성수_Dir_1,김기무_Act_1,Undirected,1
김성수_Dir_1,김기영_Act_1,Undirected,1
김성수_Dir_1,김대훈_Act_1,Undirected,1
김성수_Dir_1,김동휘_Act_1,Undirected,1
김성수_Dir_1,김려은_Act_1,Undirected,1
김성수_Dir_1,김병구_Act_1,Undirected,1
김성수_Dir_1,김성균_Act_1,Undirected,1
김성수_Dir_1,김성오_Act_1,Undirected,1
김성수_Dir_1,김성진_Act_1,Undirected,1
김성수_Dir_1,김영민_Act_1,Undirected,1
김성수_Dir_1,김옥주_Act_1,Undirected,1
김성수_Dir_1,김의성_Act_1,Undirected,1
김성수_Dir_1,김정진_Act_1,Undirected,1
김성수_Dir_1,김종호_Act_1,Undirected,1
김성수_Dir_1,김지원_Act_1,Undirected,1
김성수_Dir_1,김혜정_Act_1,Undirected,1
김성수_Dir_1,나호숙_Act_1,Undirected,1
김성수_Dir_1,남윤호_Act_1,Undirected,1
김성수_Dir_1,문성복_Act_1,Undirected,1
김성수_Dir_1,박민이_Act_1,Undirected,1
김성수_Dir_1,박원상_Act_1,Undirected,1
김성수_Dir_1,박정표_Act_1,Undirected,1
김성수_Dir_1,박정학_Act_1,Undirected,1
김성수_Dir_1,박태현_Act_1,Undirected,1
김성수_Dir_1,박해준_Act_1,Undirected,1
김성수_Dir_1,박훈_Act_1,Undirected,1
김성수_Dir_1,배혜성_Act_1,Undirected,1
김성수_Dir_1,서광재_Act_1,Undirected,1
김성수_Dir_1,서진원_Act_1,Undirected,1
김성수_Dir_1,손병욱_Act_1,Undirected,1
김성수_Dir_1,송건희_Act_1,Undirected,1
김성수_Dir_1,송영근_Act_1,Undirected,1
김성수_Dir_1,심가영_Act_1,Undirected,1
김성수_Dir_1,안내상_Act_1,Undirected,1
김성수_Dir_1,안세호_Act_1,Undirected,1
김성수_Dir_1,안효준_Act_1,Undirected,1
김성수_Dir_1,양상운_Act_1,Undirected,1
김성수_Dir_1,양시현_Act_1,Undirected,1
김성수_Dir_1,양영문_Act_1,Undirected,1
김성수_Dir_1,염동헌_Act_1,Undirected,1
김성수_Dir_1,우미화_Act_1,Undirected,1
김성수_Dir_1,우아름_Act_1,Undirected,1
김성수_Dir_1,유성주_Act_1,Undirected,1
김성수_Dir_1,윤유선_Act_1,Undirected,1
김성수_Dir_1,윤준호_Act_1,Undirected,1
김성수_Dir_1,윤호림_Act_1,Undirected,1
김성수_Dir_1,이귀우_Act_1,Undirected,1
김성수_Dir_1,이미라_Act_1,Undirected,1
김성수_Dir_1,이성민_Act_1,Undirected,1
김성수_Dir_1,이슬기_Act_1,Undirected,1
김성수_Dir_1,이승희_Act_1,Undirected,1
김성수_Dir_1,이재윤_Act_1,Undirected,1
김성수_Dir_1,이준혁_Act_1,Undirected,1
김성수_Dir_1,이하민_Act_1,Undirected,1
김성수_Dir_1,이형동_Act_1,Undirected,1
김성수_Dir_1,임철형_Act_1,Undirected,1
김성수_Dir_1,장현동_Act_1,Undirected,1
김성수_Dir_1,전상원_Act_1,Undirected,1
김성수_Dir_1,전수지_Act_1,Undirected,1
김성수_Dir_1,전운종_Act_1,Undirected,1
김성수_Dir_1,전진기_Act_1,Undirected,1
김성수_Dir_1,정동환_Act_1,Undirected,1
김성수_Dir_1,정만식_Act_1,Undirected,1
김성수_Dir_1,정우성_Act_1,Undirected,1
김성수_Dir_1,정해균_Act_1,Undirected,1
김성수_Dir_1,정해인_Act_1,Undirected,1
김성수_Dir_1,정형석_Act_1,Undirected,1
김성수_Dir_1,조윤상_Act_1,Undirected,1
김성수_Dir_1,진대연_Act_1,Undirected,1
김성수_Dir_1,진영_Act_1,Undirected,1
김성수_Dir_1,차건우_Act_1,Undirected,1
김성수_Dir_1,차래형_Act_1,Undirected,1
김성수_Dir_1,최기동_Act_1,Undirected,1
김성수_Dir_1,최병모_Act_1,Undirected,1
김성수_Dir_1,최원경_Act_1,Undirected,1
김성수_Dir_1,추은경_Act_1,Undirected,1
김성수_Dir_1,하헌진_Act_1,Undirected,1
김성수_Dir_1,하회정_Act_1,Undirected,1
김성수_Dir_1,한규원_Act_1,Undirected,1
김성수_Dir_1,한창현_Act_1,Undirected,1
김성수_Dir_1,허동원_Act_1,Undirected,1
김성수_Dir_1,현봉식_Act_1,Undirected,1
김성수_Dir_1,홍서준_Act_1,Undirected,1
김성수_Dir_1,홍승현_Act_1,Undirected,1
김성수_Dir_1,황인성_Act_1,Undirected,1
김성수_Dir_1,황정민_Act_1,Undirected,1
김성환_Dir_1,고은영_Act_1,Undirected,1
김성환_Dir_1,김용석_Act_1,Undirected,1
김성환_Dir_1,김지희_Act_1,Undirected,1
김성환_Dir_1,김채원_Act_1,Undirected,1
김성환_Dir_1,나현준_Act_1,Undirected,2
김성환_Dir_1,문진승_Act_1,Undirected,1
김성환_Dir_1,박성균_Act_1,Undirected,1
김성환_Dir_1,박지아_Act_1,Undirected,1
김성환_Dir_1,손미희_Act_1,Undirected,1
김성환_Dir_1,손성수_Act_1,Undirected,1
김성환_Dir_1,심유승_Act_1,Undirected,1
김성환_Dir_1,안치욱_Act_1,Undirected,1
김성환_Dir_1,양흥주_Act_1,Undirected,1
김성환_Dir_1,오자훈_Act_1,Undirected,1
김성환_Dir_1,원동은_Act_1,Undirected,1
김성환_Dir_1,윤상일_Act_1,Undirected,1
김성환_Dir_1,이주연_Act_1,Undirected,1
김성환_Dir_1,이준용_Act_1,Undirected,1
김성환_Dir_1,이태훈_Act_1,Undirected,1
김성환_Dir_1,장준휘_Act_1,Undirected,1
김성환_Dir_1,장희용_Act_1,Undirected,1
김성환_Dir_1,전은주_Act_1,Undirected,1
김성환_Dir_1,전진기_Act_1,Undirected,1
김성환_Dir_1,정서인_Act_1,Undirected,1
김성환_Dir_1,조유신_Act_1,Undirected,1
김성환_Dir_1,주종혁_Act_1,Undirected,1
김성환_Dir_1,최민철_Act_1,Undirected,1
김성환_Dir_1,최선중_Act_1,Undirected,1
김성환_Dir_1,최웅희_Act_1,Undirected,1
김성환_Dir_1,최현정_Act_1,Undirected,1
김성환_Dir_1,한솔미_Act_1,Undirected,1
김성환_Dir_1,홍민수_Act_1,Undirected,1
김성환_Dir_1,홍예지_Act_1,Undirected,1
김성환_Dir_1,홍택근_Act_1,Undirected,1
김성환_Dir_1,황혜란_Act_1,Undirected,1
김수인_Dir_1,강안나_Act_1,Undirected,1
김수인_Dir_1,고서희_Act_1,Undirected,1
김수인_Dir_1,김태준_Act_1,Undirected,1
김수인_Dir_1,박상남_Act_1,Undirected,1
김수인_Dir_1,배유람_Act_1,Undirected,1
김수인_Dir_1,신소율_Act_1,Undirected,1
김수인_Dir_1,안소희_Act_1,Undirected,1
김수인_Dir_1,오태경_Act_1,Undirected,2
김수인_Dir_1,윤준원_Act_1,Undirected,2
김수인_Dir_1,장서희_Act_1,Undirected,1
김수인_Dir_1,장준휘_Act_1,Undirected,1
김수인_Dir_1,정인기_Act_1,Undirected,1
김수인_Dir_1,조은유_Act_1,Undirected,1
김수인_Dir_1,조형균_Act_1,Undirected,1
김수인_Dir_1,최소윤_Act_1,Undirected,1
김수인_Dir_1,타쿠야_Act_1,Undirected,1
김수정_Dir_1,경수빈_Act_1,Undirected,1
김수정_Dir_1,기현우_Act_1,Undirected,1
김수정_Dir_1,김건희_Act_1,Undirected,1
김수정_Dir_1,김노진_Act_1,Undirected,1
김수정_Dir_1,김미미_Act_1,Undirected,1
김수정_Dir_1,김민우_Act_1,Undirected,1
김수정_Dir_1,김성수_Act_1,Undirected,1
김수정_Dir_1,김원기_Act_1,Undirected,1
김수정_Dir_1,김정민_Act_1,Undirected,1
김수정_Dir_1,김진성_Act_1,Undirected,1
김수정_Dir_1,김진홍_Act_1,Undirected,1
김수정_Dir_1,문해민_Act_1,Undirected,1
김수정_Dir_1,박규남_Act_1,Undirected,1
김수정_Dir_1,박서함_Act_1,Undirected,1
